stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,71,1,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,37,4,0,1,1,0,18,1,1,3,0,0,0,0,0
 24-34,0,0,0,35.3,0.82,0,48.43,0,9.03,0.82,0,0,4.1,0,0,0,0.82,0,23.8,0,0,3.28,119.84,0,1.64,0.82,0,0,39.4,0,2.46,9.85,0,0,39.4,0,0
 36-46,0,0,0,17.72,0,0,190.14,0,2.42,3.22,2.42,0,1.61,0,0,0,0,0,30.62,0,0,3.22,176.44,0.81,0.81,0.81,0,0,43.51,0,0.81,6.45,0,0,24.98,0,0
 48-58,0,0,0,8.03,0.57,0,230.1,0,5.74,4.02,8.03,0.57,2.87,0,0,0,0,0,24.1,0,1.72,2.3,93.53,1.72,0,1.15,0,0,22.38,0,0,6.89,0,0,20.08,0,0.57
 60-70,0,0,0,5.89,0,0,198.27,0,7.85,2.94,25.52,1.96,0.98,0,0.98,0,0,0,38.28,0,2.94,1.96,65.76,1.96,0,0,0,0,26.5,0,2.94,2.94,0,3.93,12.76,0,0
 72-82,0,0,0,18.65,0,0,77.55,0,5.89,4.91,27.49,1.96,3.93,0,0,0,0,0,38.28,0,0.98,2.94,43.19,1.96,0,0,0,1.96,30.43,0,0.98,0.98,0,1.96,28.47,1.96,0
 84-94,1.06,0,0,40.36,0,0,59.47,1.06,20.18,4.25,10.62,14.87,4.25,0,2.12,0,1.06,0,20.18,1.06,4.25,0,27.61,2.12,0,4.25,0,0,46.73,0,0,2.12,0,1.06,27.61,0,0
 96-106,0,0,0,34.97,2.19,0,54.64,0,13.11,2.19,7.65,16.39,6.56,3.28,1.09,2.19,0,1.09,21.86,0,1.09,2.19,40.44,0,1.09,2.19,0,2.19,77.59,0,1.09,1.09,0,2.19,26.23,0,0
108-118,0,0,0,36,0,0.77,50.55,0,22.21,3.06,7.66,9.19,0.77,0.77,1.53,3.83,0.77,1.53,19.15,0,2.3,0.77,52.09,0.77,1.53,1.53,0,0.77,65.87,0,0.77,0,1.53,0.77,16.85,1.53,0
120,0,0,0,27.44,0,0,35.28,0,15.68,1.96,5.88,15.68,1.96,0,3.92,0,1.96,0,15.68,0,1.96,0,48.99,0,1.96,0,0,1.96,54.87,0,0,0,0,1.96,15.68,0,0
