stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,15,146,2,0,2,1,0,0,0,0,0,4,0,2,28,1,1,0,4,0,12,0,8,18,0,0,0
 24-34,0,0.82,32.83,0.82,0,0,0.82,0,0,0,0,0,1.64,0,1.64,21.34,0,0.82,0,0,1.64,0,0,0.82,10.67,0,0,0
 36-46,0,0,6.45,3.22,0,1.61,0,0,0,0,0,0,2.42,0,0,24.17,0,0,0,0,0,0,0.81,0,5.64,0,0,0.81
 48-58,0,0,0,6.31,0.57,0.57,0,0,0,0,0,0,3.44,0,0,11.48,0,0,0,0,0,0,0,0,3.44,0.57,0,0
 60-70,0,0,0.98,3.93,0,0,0,0,0,0,0,0,1.96,0,0,6.87,0,0,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,4.91,0,0.98,0.98,0,0,0,0,0,4.91,0.98,0,6.87,0,0,0,0,0.98,0,0,0,1.96,0,0,0
 84-94,0,0,1.06,9.56,0,2.12,1.06,0,1.06,0,0,0,2.12,0,0,7.43,0,0,2.12,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,3.28,0,2.19,0,1.09,0,0,2.19,0,3.28,0,0,6.56,0,2.19,2.19,0,5.46,0,0,0,0,0,0,1.09
108-118,0,0.77,0,2.3,0.77,0.77,0,0,0,0.77,0,0.77,0.77,0,0.77,9.96,0,0.77,0,0,2.3,0,0,0,0.77,0,0.77,0
120,0,1.96,0,5.88,0,1.96,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,1.96,0,0,0,0,0,0,0
