stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,2,0,0,0,0,0,1,0,14,0,0,0,0,0,1,54,0,0,16,17,1,0,1,1,0,0,0,4,0,0,0,0,0
 24-34,0,0,0,3.28,1.64,0,0.82,0,0,0,0.82,0,32.83,0,0,0,0,0,0,45.15,0,0.82,9.85,27.91,0,0,0,0,0,0.82,0,17.24,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,0.81,0,39.48,0,0,0,0,3.22,0,34.64,0,3.22,0,58.81,0,0.81,0,0,1.61,0.81,0,41.89,0,0.81,12.89,0,0
 48-58,0,0,0.57,0.57,0,0,3.44,0,0,0,0.57,0,24.67,0,0,0,0,0.57,0.57,35.58,0,2.87,0,73.45,0,0.57,3.44,0,2.3,0,0.57,23.53,0,1.72,28.69,0,0
 60-70,0,0,0,0,0,0,7.85,0,0,0,7.85,0,21.59,0.98,0,0,0.98,2.94,0,66.74,0,0.98,0,130.54,0,0,4.91,0,2.94,0,0,10.8,0,6.87,32.39,0,0
 72-82,0,0,0,2.94,0.98,0,16.69,0,0,0,34.36,0,19.63,6.87,0,2.94,0,0,0,83.44,0,0,0.98,271.92,0,0.98,15.71,0,0.98,0.98,0,7.85,0,5.89,64.79,0,0
 84-94,0,0,0,4.25,0,0,30.8,0,0,0,36.11,2.12,20.18,1.06,0,2.12,0,0,0,78.59,0,2.12,0,145.5,0,0,21.24,0,0,0,0,7.43,0,3.19,50.98,1.06,0
 96-106,0,0,0,3.28,0,0,44.81,0,1.09,0,34.97,0,22.95,1.09,0,1.09,0,3.28,0,108.19,2.19,3.28,4.37,151.91,0,0,37.16,0,2.19,3.28,0,5.46,1.09,4.37,59.01,2.19,0
108-118,0,0,0,7.66,0,0.77,38.3,1.53,0,0,25.28,0.77,16.09,2.3,0.77,3.83,0,3.83,0,79.66,0,1.53,1.53,157.02,0.77,0,32.17,0,0.77,1.53,0,3.83,0,3.06,31.4,0.77,0.77
120,0,0,0,7.84,0,0,29.4,0,0,1.96,23.52,0,19.6,1.96,0,1.96,0,1.96,0,88.19,0,3.92,0,207.74,0,0,33.32,0,3.92,1.96,0,3.92,0,7.84,47.03,0,0
