stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,5.26,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1
 24-34,0,0,0.82,0,0,0,0,4.93,0,0,0.82,0,0.82,0.82,0.82,4.93,0,0,0,6.57,0,0,0.82
 36-46,0,0,0,0,0,0,0,18.53,0,0,0,0,0.81,1.61,0,5.64,0,0,0,24.17,0,0,4.83
 48-58,0,0,0,0,1.15,0,0,62.54,0,0,0,0,0.57,1.15,0,4.59,0,0,0.57,55.66,0,0,2.87
 60-70,0,0,0.98,0,0,0,0,229.68,0,0,0,0.98,0.98,1.96,0,8.83,0,0,0.98,83.43,0,0,1.96
 72-82,0,0,0,0.98,15.71,0,0.98,383.83,0,0,0,0,0,3.93,0,14.72,0,0,0,24.54,0,0,1.96
 84-94,0,0,1.06,0,16.99,0,0,284.63,0,0,0,0,0,3.19,2.12,5.31,0,0,0,36.11,1.06,0,1.06
 96-106,0,0,3.28,0,10.93,0,0,236.05,1.09,0,0,0,0,2.19,0,12.02,2.19,0,1.09,9.84,0,1.09,4.37
108-118,0,0,0.77,0,3.06,0.77,1.53,188.43,0,0.77,0,0,0,0.77,0,8.43,0,0,0,6.13,0,0,3.06
120,0,0,0,0,1.96,0,0,143.06,0,0,0,0,1.96,3.92,0,3.92,0,0,0,5.88,0,0,0
