stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,6,116,156,0,14,0,23,0,4,17,10,0,2,0,1,0,0,118,0,0,273,142,458,1,5,14,0,2,1,777,5,73,1580,49,0,0,50,0,0
 24-34,0,1.64,1.64,78.8,11.49,0,23.8,5.75,91.12,0.82,9.85,2.46,10.67,0,0.82,0,0.82,0,0,265.14,1.64,0.82,220.81,190.44,46.79,3.28,9.85,0,0.82,10.67,0,2.46,4.1,12.31,207.68,36.12,0,0,105.07,0,0.82
 36-46,0,0,0.81,25.78,0,0,22.56,4.83,41.09,5.64,13.7,4.03,15.31,0,0,0.81,0,8.86,0,466.48,3.22,4.83,209.47,249.76,22.56,2.42,9.67,0,0,6.45,0,0.81,1.61,6.45,2.42,33.03,0,2.42,37.06,0,0.81
 48-58,0,0,0.57,33.28,1.15,0,37.3,7.46,36.72,20.08,10.9,0.57,9.18,0.57,0,1.15,1.15,2.3,0.57,624.3,0,8.61,138.29,251.33,6.89,0,15.49,0.57,0.57,8.61,0,0,1.15,1.15,0,42.46,0,2.87,29.84,0,1.15
 60-70,0,0,0,26.5,0,0,29.45,5.89,36.32,17.67,27.48,1.96,7.85,0,0.98,0,0.98,0.98,0,955.02,0,10.8,104.04,365.13,8.83,2.94,10.8,0.98,7.85,5.89,0,0,1.96,0.98,0,63.8,0,8.83,12.76,4.91,0
 72-82,0,3.93,0.98,38.28,2.94,0.98,87.37,2.94,26.5,23.56,72.64,6.87,15.71,0,0,1.96,2.94,0,2.94,1297.76,0.98,24.54,101.11,377.94,3.93,0.98,27.49,0,9.82,0.98,0,0,0.98,0,0,36.32,3.93,22.58,30.43,16.69,0.98
 84-94,0,3.19,0,77.53,1.06,0,109.39,2.12,43.54,24.43,49.92,16.99,9.56,1.06,3.19,2.12,0,7.43,3.19,929.28,0,21.24,67.97,186.92,13.81,0,19.12,0,4.25,9.56,0,0,3.19,3.19,0,21.24,5.31,16.99,38.23,7.43,1.06
 96-106,0,2.19,0,74.31,3.28,0,92.89,1.09,49.18,17.49,54.64,17.49,13.11,0,4.37,1.09,6.56,5.46,2.19,896.13,0,26.23,57.92,209.83,7.65,2.19,37.16,0,8.74,3.28,0,0,5.46,0,0,6.56,8.74,20.76,34.97,22.95,1.09
108-118,0,0,2.3,49.79,1.53,0,49.02,0.77,55.92,16.09,49.79,19.15,9.19,1.53,3.06,1.53,3.06,6.13,3.06,801.2,2.3,16.85,52.09,187.66,9.19,3.83,28.34,0,13.79,0,0,0,6.13,0,0,6.13,13.79,9.96,22.98,8.43,0.77
120,0,0,3.92,43.12,0,0,25.48,0,27.44,5.88,39.2,11.76,11.76,0,0,1.96,3.92,13.72,0,482.11,1.96,5.88,39.2,160.7,11.76,5.88,25.48,0,5.88,1.96,0,0,1.96,0,0,3.92,9.8,7.84,13.72,11.76,0
