stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,taste,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,7.89,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0
 24-34,0,0,6.57,0.82,0,0,0,0,0,0,12.31,0,0,13.95,0,2.46,0,0,0,0,0,0.82,0.82,0,0
 36-46,0,0,1.61,0,0,0,0,0,0,0,1.61,0,0.81,22.56,0.81,3.22,0,0,0,0,0,0.81,0,0,0.81
 48-58,0,0,0.57,0,0.57,0,0,0,0,0,1.15,0,1.15,26.4,0,4.59,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0.98,0,0.98,0.98,0,0,0,0.98,1.96,0,0.98,25.52,0,0.98,0,0,0,0,0,0.98,0.98,0,0
 72-82,0,0,0.98,0,0.98,2.94,0,0,0,2.94,0,0,0,43.19,0,2.94,0,0.98,0,0.98,0,0,0,0,0
 84-94,0,0,7.43,0,0,0,1.06,0,0,25.49,3.19,0,1.06,40.36,2.12,1.06,0,0,0,0,0,1.06,1.06,0,0
 96-106,0,0,8.74,0,1.09,2.19,0,1.09,0,29.51,7.65,2.19,3.28,49.18,0,6.56,0,0,0,0,0,1.09,0,1.09,0
108-118,0,0,9.96,0,1.53,0.77,0,0,1.53,46.72,3.83,0,0,46.72,3.83,0.77,0,0.77,0,1.53,0,2.3,0,1.53,0
120,0,0,3.92,0,3.92,1.96,0,0,1.96,23.52,5.88,0,0,33.32,3.92,0,0,0,0,1.96,0,1.96,0,0,0
