stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,20,0,0,1,5,0,0,9,14,0,2,1,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,5.75,0,0,0,0.82,0,0,0.82,0,0,0,0,0.82,0,0.82,0.82,0,1.64,50.07,0,19.7,0,0,0,0.82,0,4.1,0,0.82,11.49,0,0,0,0,0
 36-46,0,0,0,0,0,0,9.67,0,0,0.81,0.81,0,0,0.81,0,0,0,0,0,0,3.22,0,0,0,71.7,0,39.48,0,0,0,0.81,0.81,1.61,0,0,33.03,0,0,0,0,0
 48-58,0,0,0,2.3,0,0,104.43,0.57,0,0.57,14.35,0,0,1.15,0.57,0,5.16,0,0,0,13.2,0,1.15,1.15,247.88,0.57,43.04,0,0,0,1.15,0,0,0.57,0,39.02,0,0,2.87,0,2.87
 60-70,0,0,0,8.83,0,0,368.07,1.96,0.98,0.98,25.52,0.98,0,0,2.94,0.98,4.91,0.98,0.98,0,28.46,0,0,0.98,657.62,0,46.13,0.98,0,0,8.83,0,3.93,0,0,45.15,11.78,0.98,3.93,0,1.96
 72-82,0,0.98,0.98,43.19,24.54,1.96,658.7,2.94,7.85,10.8,89.33,6.87,0.98,1.96,4.91,0.98,6.87,3.93,5.89,1.96,176.7,4.91,3.93,20.61,1136.76,1.96,106.02,7.85,0,0,31.41,0,6.87,0,0,64.79,62.83,2.94,27.49,7.85,17.67
 84-94,0,2.12,0,60.54,19.12,0,419.5,1.06,1.06,3.19,43.54,12.74,0,1.06,3.19,4.25,4.25,2.12,3.19,3.19,64.78,4.25,3.19,5.31,576.69,1.06,146.56,1.06,0,5.31,39.3,0,3.19,0,0,38.23,183.73,2.12,8.5,1.06,4.25
 96-106,1.09,1.09,0,102.73,36.06,3.28,360.64,2.19,5.46,3.28,59.01,26.23,0,1.09,13.11,7.65,4.37,5.46,13.11,1.09,91.8,2.19,2.19,6.56,587.95,2.19,195.62,3.28,0,1.09,48.09,0,4.37,0,0,22.95,251.35,5.46,21.86,4.37,9.84
108-118,0,1.53,0,51.32,21.45,3.83,314.81,2.3,4.6,3.06,50.55,22.21,0,1.53,5.36,1.53,2.3,1.53,6.89,0,89.62,3.06,4.6,7.66,695.49,0,134.04,5.36,0,1.53,14.55,0,0,0,0,18.38,260.43,1.53,7.66,2.3,4.6
120,0,0,0,39.2,7.84,0,337.08,3.92,5.88,0,54.87,9.8,1.96,0,7.84,3.92,3.92,0,7.84,0,48.99,0,1.96,9.8,827.03,1.96,90.15,3.92,0,0,25.48,0,1.96,0,0,27.44,101.91,0,0,3.92,3.92
