stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,502.63,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,7.89,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,162.98,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.73,3.15,0,0,28.32,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,1,2,35,7,37,0,1,0,14,2,0,1,0,0,0,0,0,0,36,0,16,464,9,4,4,19,0,3,67,4,2,52,141,0,0,0,1
 24-34,0,0,0,1.64,4.93,0,36.12,0,0,0.82,7.39,0,0,0,0,0.82,0.82,0,0,0,32.01,0,11.49,277.45,2.46,0.82,2.46,0,0.82,3.28,0,0.82,0,0.82,52.53,0,3.28,0,0.82
 36-46,0,0,0,0.81,2.42,0,61.23,0,0,0,9.67,0,0,0.81,0,0,0.81,1.61,0,0,25.78,0.81,8.06,178.05,0,0,1.61,0,0,2.42,0.81,0,0.81,0,27.39,0,3.22,0,0
 48-58,0,0,0,0,1.15,0,49.35,0,0,0,12.62,0,0,0.57,0.57,0,0.57,0,1.15,0.57,20.66,1.72,4.59,70.58,0.57,0,0,0,0,0,0,0,0,0,16.64,0.57,2.87,0,0
 60-70,0,0,0.98,0,2.94,0,30.43,0,0,1.96,13.74,0.98,0,0,0,0,0,0,0,0,22.58,2.94,2.94,66.74,0,0,0,0,0,0,0,0,0,0,4.91,0.98,0,0,0
 72-82,0,0,0,0,5.89,0.98,15.71,0,0,0.98,16.69,0.98,0,0.98,0,1.96,1.96,0,0,1.96,36.32,0.98,4.91,65.77,0,0.98,0,0,0,1.96,0,0,0,0,3.93,2.94,0.98,0.98,0
 84-94,0,0,0,0,4.25,0,16.99,1.06,1.06,3.19,12.74,1.06,0,1.06,0,0,1.06,0,0,0,28.68,3.19,6.37,32.92,0,0,1.06,0,0,1.06,0,0,0,0,3.19,0,4.25,0,0
 96-106,0,0,0,0,4.37,0,8.74,0,0,0,17.49,1.09,0,1.09,0,0,1.09,0,0,0,16.39,1.09,3.28,15.3,0,0,1.09,0,0,1.09,0,0,0,0,2.19,0,2.19,0,0
108-118,0,0,0,0,1.53,0,13.79,0,0.77,1.53,16.85,1.53,0,0,0,1.53,0,1.53,0,0,19.15,1.53,3.06,24.51,0.77,0,0.77,0,0,0,0,0.77,0,0,0.77,0.77,3.06,0.77,0.77
120,0,0,0,0,1.96,0,9.8,0,0,0,11.76,0,0,3.92,1.96,0,0,1.96,1.96,0,7.84,0,5.88,21.56,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0
