stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,672.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,343.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,13.14,0,0,0,15.77,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,149.84,7.89,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,0,31.47,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,141.61,12.59,0,0,103.85,0,0,3.15,0,6.29,0,0,3.15,0,0,0,0
 14-21,0,0,1,1,4,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,4,33,3,2,0,1,0,1,0,4,0,0,4,10,0,0,0,0
 24-34,0,0,0.82,0,0.82,0.82,0,5.75,0,0,0,1.64,0,0,0.82,1.64,0,0,0,0,0,16.42,0,0,3.28,86.19,0.82,1.64,1.64,0,0,3.28,0,0,0,0,1.64,26.27,0,3.28,0,0
 36-46,0,0,0,0,2.42,0,0,13.7,0,0,0.81,4.03,0,0,0,0,0,0,0,0,0,15.31,0.81,0,4.03,126.49,0.81,0,1.61,0,0,4.03,0,0,0,0,0,25.78,0,0.81,0,0.81
 48-58,0,0,0,0,2.3,0,0,28.69,0.57,0.57,1.72,6.89,0,0,0,0,0,0.57,0.57,0,1.15,12.62,0,0.57,2.87,120.5,0,2.3,1.15,0,0,1.15,0,0,0,1.15,0,25.82,0,1.15,0,0
 60-70,0,0,0.98,0,2.94,0,0,42.21,0,0.98,0,7.85,0.98,0,0.98,0,0,0,0,0,0,19.63,0,0.98,2.94,123.67,0.98,0,0.98,0,0,2.94,0,0,0,0,0,14.72,0,1.96,0,0
 72-82,0,0,0,0,0,1.96,0,57.92,0,0,1.96,16.69,0.98,0.98,0,0,0,0,0,0,1.96,18.65,0.98,0,1.96,136.45,0,0.98,0.98,0,0.98,1.96,0,0,0,0,0,11.78,0,2.94,1.96,0.98
 84-94,0,0,0,0,5.31,0,1.06,41.42,1.06,1.06,0,5.31,2.12,0,1.06,2.12,0,1.06,1.06,0,1.06,23.36,0,1.06,0,73.28,1.06,0,2.12,0,1.06,5.31,0,0,0,0,0,2.12,0,3.19,0,0
 96-106,0,0,0,0,3.28,0,1.09,24.04,0,1.09,0,7.65,1.09,0,0,0,1.09,1.09,1.09,0,0,10.93,0,1.09,3.28,50.27,0,2.19,0,0,0,5.46,0,0,0,0,0,7.65,1.09,3.28,0,0
108-118,0,0,0,0.77,6.89,0.77,0.77,20.68,0,3.06,0.77,7.66,2.3,0,0,0.77,0,1.53,0,1.53,0.77,8.43,0,0.77,1.53,52.09,0.77,0.77,0,0,0.77,4.6,0,0,0.77,0.77,0,3.06,0,3.06,0,3.06
120,0,0,0,0,3.92,0,0,17.64,0,1.96,0,9.8,3.92,0,0,1.96,0,0,0,0,0,7.84,0,0,0,111.71,0,0,0,0,1.96,1.96,0,0,0,0,0,9.8,0,1.96,3.92,0
