stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,672.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645.72,0,0,0,0,0,0,0,0,0
  5-6,6.13,275.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,576.19,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,10.51,78.86,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,0,0,0,0,0,88.12,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,12.59,25.18,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,21,151,3,0,4,1,0,2,23,218,0,0,56,3,0,0,1,11,0,2,37,3,10,27,1,687,4,15,0,2,10,0,0,0,0
 24-34,0,0,1.64,16.42,112.46,3.28,0,8.21,3.28,0,1.64,13.95,63.21,0,0.82,123.13,35.3,2.46,0.82,9.03,37.76,0,2.46,119.84,0,53.36,20.52,0,1010.47,0,20.52,0.82,2.46,14.78,0,6.57,0,0
 36-46,0,0,0,1.61,33.03,0,0,3.22,4.83,0,2.42,6.45,19.34,0,0.81,35.45,22.56,0,0,3.22,22.56,0,4.03,114.41,1.61,55.59,19.34,0,1075.57,0,9.67,0,0,12.09,0,3.22,0,0.81
 48-58,0,0,0,0,19.51,0,0,17.79,10.33,1.72,2.3,1.15,41.89,0.57,0,22.38,25.25,0.57,1.72,8.61,18.94,0,1.15,71.73,0,44.18,16.07,0,950.79,0,3.44,0,0,6.31,0,5.16,0,1.72
 60-70,0,0,0,0.98,28.46,0,0,14.72,9.82,0,2.94,6.87,17.67,0,0,19.63,34.35,0.98,0,3.93,11.78,0,0,52.02,0,54.97,17.67,0,764.61,0,6.87,0,0,6.87,4.91,0.98,0,0.98
 72-82,0,0,10.8,0,51.05,0,0.98,20.61,5.89,1.96,0.98,27.49,12.76,0,2.94,38.28,61.84,0.98,0,11.78,19.63,0,0,54.97,0,115.84,32.39,0,589,0,2.94,0,0,0,32.39,5.89,0,0.98
 84-94,0,0,7.43,2.12,78.59,0,0,6.37,27.61,0,4.25,45.67,20.18,0,1.06,61.6,96.65,0,0,8.5,16.99,0,0,32.92,0,125.32,27.61,0,1474.11,0,9.56,0,0,0,93.46,1.06,2.12,0
 96-106,0,0,12.02,1.09,111.47,4.37,0,12.02,15.3,1.09,5.46,67.76,1.09,0,2.19,61.2,133.33,4.37,0,8.74,18.58,0,0,48.09,0,220.76,42.62,0,715.81,0,5.46,0,0,2.19,128.96,1.09,0,1.09
108-118,0,0,6.89,0.77,58.98,0,0.77,7.66,19.15,0,2.3,42.13,0,0,3.83,39.06,75.83,0.77,0,9.19,11.49,0.77,0,27.57,0.77,133.28,32.17,0,465.71,0,6.13,0,0,0,88.09,1.53,0,0.77
120,1.96,0,7.84,1.96,54.87,3.92,0,0,5.88,0,1.96,37.24,0,0,0,17.64,45.08,0,0,1.96,11.76,0,0,27.44,0,66.63,17.64,0,266.53,0,5.88,0,0,5.88,29.4,0,0,0
