stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,7.89,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,44.69,7.89,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,44.06,0,0,34.62,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,8,5,3,0,0,0,0,0,1,0,36,0,0,0,4,2,0,2,32,13,0,0,0,0,2,0,3,0,1,5,10,0,0,5,0,0
 24-34,0,0,0,0,11.49,0.82,12.31,1.64,0,1.64,0,0,4.93,0,75.52,0,0,0.82,14.78,12.31,0,4.93,18.88,12.31,0.82,0,0,0.82,0,0,0,0.82,0,0.82,17.24,0,0,27.09,0,4.1
 36-46,0,0,1.61,0,2.42,0,10.47,3.22,4.83,4.03,0,0,0.81,0.81,27.39,0,0,0,36.26,4.83,0.81,8.06,22.56,3.22,0.81,0,0,0,1.61,0,0,0,0.81,0,43.51,0,0.81,18.53,0,4.03
 48-58,0,0,0,0,6.89,0,10.33,8.61,6.89,1.72,0,0,0.57,1.72,10.9,0,0,1.15,41.31,1.15,0.57,4.59,13.2,1.72,0.57,0,0,0,0,0,0,0,0,0,12.05,0,0.57,12.62,0,8.03
 60-70,0,0,0.98,0,5.89,0,53.98,9.82,18.65,7.85,0,0,0,4.91,4.91,0,0,1.96,52.02,0,0.98,0,37.3,0.98,0.98,0,0,0.98,0,0,0,0,0.98,0,10.8,0,1.96,7.85,0.98,6.87
 72-82,0,0,0,0.98,10.8,1.96,153.14,8.83,40.25,14.72,0.98,0.98,1.96,5.89,8.83,0,0,0.98,101.11,0,2.94,2.94,69.7,0.98,0,0,0,0,0.98,0,0,0,0,0,15.71,0,3.93,14.72,11.78,16.69
 84-94,0,0,1.06,0,29.74,1.06,118.95,24.43,22.3,12.74,3.19,0,3.19,14.87,7.43,3.19,0,11.68,96.65,2.12,3.19,5.31,60.54,0,3.19,0,0,1.06,2.12,0,0,0,0,0,8.5,12.74,4.25,15.93,7.43,12.74
 96-106,0,0,1.09,0,26.23,1.09,100.54,9.84,22.95,8.74,1.09,0,3.28,28.41,5.46,1.09,0,2.19,99.45,2.19,8.74,0,55.74,3.28,1.09,0,0,1.09,3.28,0,0,1.09,0,0,8.74,30.6,4.37,29.51,8.74,9.84
108-118,0,0,3.06,2.3,29.11,1.53,94.21,19.92,35.23,22.21,7.66,0,1.53,8.43,3.06,2.3,1.53,13.79,101.11,0,4.6,5.36,87.32,2.3,2.3,0.77,0,1.53,1.53,0,0,0,0,0,5.36,47.49,6.89,19.92,7.66,9.19
120,0,0,0,1.96,27.44,3.92,92.11,9.8,23.52,17.64,3.92,0,0,9.8,1.96,1.96,0,1.96,90.15,0,1.96,1.96,70.55,7.84,0,1.96,0,1.96,0,0,0,0,0,0,15.68,17.64,3.92,23.52,7.84,5.88
