stage,epidermis,eye,glial,gut,melanocytes,mesenchyme,mural.cell,muscle,neural,periderm,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0.82,0,0,0,0,2.46,0,0,25.45,0.82,2.46,0,0
 36-46,0,0.81,0,0,0,0.81,0,0,34.64,0,3.22,0,0
 48-58,0.57,0,0,0,0,1.72,0,0,9.18,1.15,6.89,0.57,1.15
 60-70,0,0,0.98,0,0,3.93,0,0,4.91,0,1.96,0,0
 72-82,0,0,0,0,0,6.87,0,0,5.89,0,0.98,0.98,0
 84-94,0,0,1.06,1.06,0,5.31,0,0,5.31,0,1.06,0,0
 96-106,0,0,1.09,0,0,2.19,1.09,0,1.09,0,2.19,0,0
108-118,0,0,0,0,0.77,3.06,0,0,1.53,0,0,0,0.77
120,0,1.96,0,0,0,3.92,0,1.96,0,0,0,0,0
