stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,24,0,0,0,0,0,1,6,0,1,7,10,0,0,0,0,0
 24-34,0,0,1.64,0,0,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0.82,1.64,123.13,0,2.46,1.64,0,0,0,0.82,0,0,0.82,36.94,0,0,2.46,0,0
 36-46,0,0,0.81,0,0,35.45,0,0,0,5.64,0,0,0.81,0,0,0,0,0,0,9.67,0,0,0.81,296.49,0,5.64,1.61,0,0,0.81,0,0,0,0,46.73,0,0,0,0,0.81
 48-58,0,0.57,2.87,0,0,122.79,0,0,2.3,17.79,0,0,0,0,0,0,0,0.57,1.15,8.03,1.15,0.57,3.44,398.22,0.57,2.3,1.15,0,0.57,0,0,0,0,0,67.14,0,0,0,0,0.57
 60-70,0,0,1.96,0,0,320.96,0,0,0,21.59,0,0,0,0,0,0,0,2.94,0,21.59,0,0.98,1.96,584.01,0,6.87,0.98,0.98,2.94,0,0,0,0,0,58.89,0,0,0.98,0,0.98
 72-82,0,0,1.96,0,0,347.51,0.98,0.98,2.94,36.32,1.96,0,0,0,0,0.98,0.98,0,0,45.16,0,2.94,1.96,582.13,0,12.76,3.93,0,0,0,0,0,0,0,39.27,0,1.96,1.96,0,2.94
 84-94,0,0,1.06,0,0,281.44,0,0,2.12,23.36,0,0,0,0,0,0,0,0,0,22.3,1.06,0,5.31,281.44,3.19,3.19,2.12,0,5.31,0,0,1.06,0,0,31.86,1.06,2.12,0,0,2.12
 96-106,0,0,7.65,4.37,0,197.81,2.19,1.09,0,21.86,5.46,0,0,1.09,0,0,0,1.09,0,22.95,1.09,1.09,3.28,236.05,0,10.93,6.56,0,2.19,0,0,0,1.09,0,13.11,3.28,0,2.19,1.09,0
108-118,0,0,6.13,2.3,3.06,166.21,0,1.53,2.3,22.98,1.53,0,0,0,1.53,0,3.06,1.53,0,22.21,0,2.3,3.83,293.36,0,6.89,6.13,0,3.06,0,0,0.77,0.77,0,9.96,1.53,0.77,2.3,0.77,0.77
120,0,1.96,13.72,3.92,1.96,152.86,1.96,0,1.96,15.68,3.92,0,0,0,1.96,0,1.96,0,0,19.6,1.96,0,3.92,321.4,3.92,5.88,1.96,0,5.88,0,0,0,0,0,15.68,0,1.96,3.92,1.96,0
