stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,24.52,551.67,0,0,0,0,0,0,0,6.13,0,0,0,98.07,0,0,0,12.26,24.52,0,0,0,0,0,0
  7-9,10.51,36.8,0,34.17,0,0,55.2,0,0,7.89,0,0,0,970,7.89,0,0,523.11,13.14,0,0,0,0,0,0
 10-12,0,34.62,0,28.32,0,3.15,75.53,0,0,3.15,0,0,0,1328.02,6.29,0,0,484.63,15.73,3.15,34.62,0,3.15,0,0
 14-21,0,0,0,0,105,3,6,2,2,0,0,9,9,477,3,1,3,7,38,45,1,1,38,68,0
 24-34,0,0,0,0,0.82,0,2.46,0,0,0,0,0.82,0,67.31,0.82,0.82,0,0,9.85,0,0,0,1.64,4.1,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,18.53,0,0,0,0,4.03,0,0,0,0,3.22,0.81
 48-58,0,0,0,0,0.57,0,1.15,0,0,0,0,2.3,0,11.48,0,0,0,0,1.72,0,0,0,0,1.72,3.44
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0,5.89,0,0.98,0,0,0.98,0,0,0,0,0,2.94
 72-82,0,0,0.98,0,0,0,2.94,0,0,0,0,0.98,0,4.91,0,0,0,0,0.98,0,0,0,0,0,1.96
 84-94,0,0,0,0,0,0,7.43,1.06,0,0,0,1.06,0,5.31,0,0,0,0,5.31,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,3.28,0,0,0,0,1.09,0,1.09,0,0,0,0,3.28,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,1.53,0,0,0,0.77,0,0,0,0,0,0.77,0,3.06,0,0,0,0,0,2.3
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,3.92,0,0,0,0,5.88,0,0,0,0,0,1.96
