stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,10.51,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,26,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,65.67,0,0,0,0,0.82,10.67,0.82,0,0,0,0,0,0,0,0.82,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,94.26,0,0.81,0,0,0.81,14.5,0,0,0,0,0,0,0,0,0.81,4.83,0,0
 48-58,0,0,0,0,4.02,0,0,0,0,0,96.4,0,1.15,0,0,0,9.75,0,0,0,0,0,0,0,0,1.15,6.31,0,0
 60-70,0,0,0,0,13.74,0,0,0,0,0,108.95,0.98,0,0,0,0,21.59,0,0,0,0,0,0,0,0,1.96,6.87,0,0.98
 72-82,0,0,0,8.83,17.67,0,0.98,2.94,0,0.98,164.92,0.98,5.89,0,0,0,19.63,0,0.98,0,0,0.98,0,0.98,0,0.98,10.8,0.98,0
 84-94,0,0,0,1.06,8.5,0,1.06,1.06,0,0,190.1,2.12,1.06,0,1.06,0,15.93,0,0,1.06,0,0,0,0,0,1.06,18.05,0,0
 96-106,0,0,3.28,4.37,5.46,0,0,0,0,0,286.33,0,3.28,1.09,1.09,1.09,12.02,0,0,0,0,2.19,0,0,0,0,17.49,0,0
108-118,0,0,0,6.13,10.72,0,0,2.3,1.53,0,242.04,0,2.3,0,0,0,13.79,0.77,1.53,0,0,1.53,0.77,0,0,0,14.55,0.77,0
120,0,0,1.96,3.92,7.84,1.96,0,3.92,0,0,282.21,0,0,0,0,0,13.72,0,0,0,0,1.96,0,0,0,0,13.72,0,0
