stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,19,0,0,0,0,0,0,1,0,4,0,0,2,0,4,3,4,0,1,16,1,0,2,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0,0.82,0,1.64,0.82,0,0.82,0,0.82,4.93,10.67,2.46,0.82,13.13,0,0.82,1.64,0,0,4.93,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,1.61,0,0.81,0.81,0,3.22,0,1.61,3.22,3.22,3.22,0,15.31,0,4.03,2.42,0,0,4.03,0
 48-58,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,2.3,0.57,0.57,5.16,4.02,1.15,0,11.48,0,0.57,0,0,0,0.57,0
 60-70,0,0.98,0,1.96,0,0,0,0.98,0.98,0,0,0,0.98,0,0.98,6.87,0.98,0.98,1.96,3.93,0.98,0.98,15.7,0,2.94,0,0.98,0,1.96,0
 72-82,0,0.98,0,2.94,0,0.98,0,0,1.96,4.91,0.98,0,0.98,0.98,0,4.91,1.96,0,5.89,0,0.98,0,10.8,0,0,0,0.98,0,0,1.96
 84-94,0,2.12,0,4.25,0,0,0,0,2.12,12.74,0,1.06,1.06,0,1.06,2.12,0,1.06,0,3.19,2.12,2.12,36.11,0,1.06,0,0,0,1.06,1.06
 96-106,0,1.09,0,18.58,0,2.19,3.28,0,0,9.84,0,3.28,3.28,0,3.28,2.19,1.09,0,4.37,1.09,3.28,3.28,42.62,0,1.09,0,1.09,1.09,0,2.19
108-118,0,3.06,0,13.79,0,1.53,3.83,0,2.3,13.79,0,4.6,2.3,0,1.53,0.77,0,0,2.3,0,2.3,1.53,26.81,0,0.77,0,0.77,2.3,0.77,0.77
120,0,0,0,11.76,0,0,1.96,0,1.96,23.52,0,0,0,0,0,1.96,0,0,0,1.96,0,3.92,7.84,0,1.96,0,0,0,0,0
