stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,4.1,0,0,2.46,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,24.98,0,0,4.03,0,0,0,0.81,0,0,1.61,0,0
 48-58,0,0,0,0,2.87,0,0,0,0,0,0.57,29.26,0.57,0,4.02,0,0,0,0.57,0,0,0,0.57,0
 60-70,0,0,0,0,1.96,0,0.98,1.96,0,0,0,36.32,1.96,2.94,5.89,0,0,0,0,0,0,1.96,1.96,0
 72-82,0,0,0,0,5.89,0,1.96,1.96,0,0.98,0,26.5,0,2.94,9.82,0,0.98,0,0,0,0,1.96,0.98,1.96
 84-94,1.06,0,1.06,0,12.74,0,1.06,1.06,0,3.19,0,19.12,0,0,8.5,0,0,0,0,0,0,0,5.31,0
 96-106,0,0,0,0,9.84,0,2.19,0,0,0,0,32.79,2.19,1.09,5.46,0,0,0,0,1.09,0,0,5.46,1.09
108-118,0,0,0,0,3.83,0.77,1.53,1.53,0.77,0,0,22.98,0.77,0.77,2.3,0,0,0,0,0,0,0,14.55,0.77
120,0,0,0,1.96,5.88,0,0,1.96,0,1.96,0,23.52,0,3.92,11.76,0,0,0,0,0,0,0,5.88,0
