stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle
  3-4,131.78,2108.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0
  5-6,79.69,815.24,0,6.13,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,6.13,24.52,0,0,0,0,0,0
  7-9,0,10.51,0,5.26,0,0,0,7.89,0,0,5.26,0,0,0,0,0,118.29,5.26,0,0,36.8,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,50.35,0,0,0,18.88,0,6.29,3.15,0,0,0,0
 14-21,0,0,2,0,2,0,0,3,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,1,4,0,0
 24-34,0,0,1.64,0,0,0,0,3.28,0,1.64,0,0,0,0.82,4.1,0.82,19.7,0,4.1,0,0,0.82,0,0,0,3.28,0,0
 36-46,0,0,0.81,0,0.81,0,0,2.42,0,0,0,0,0,0.81,1.61,0,8.86,0,3.22,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,1.15,0,0,0,0,2.3,0,0.57,0,0,0,0,0,0,4.02,0,1.72,0,0,0,0,0,0,1.15,0,0
 60-70,0,0,0.98,0,0,0,0,4.91,0,10.8,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,11.78,0,0.98,0,0.98,2.94,0,39.27,0.98,0,0,0,1.96,0,4.91,0,3.93,0,0,0,0,0,0,0,0,0
 84-94,0,0,10.62,0,0,2.12,1.06,1.06,0,96.65,0,0,0,1.06,3.19,0,4.25,0,1.06,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,8.74,0,0,0,0,2.19,0,159.56,0,1.09,0,1.09,1.09,0,13.11,0,5.46,0,0,2.19,0,0,0,0,2.19,0
108-118,0,0,4.6,0,0,0,0.77,3.06,0.77,256.6,0,0,0.77,0.77,1.53,0,9.96,0,3.83,0,0,0.77,0,0,0,0.77,1.53,0
120,1.96,0,5.88,0,0,0,0,0,0,156.78,0,0,0,0,1.96,0,15.68,0,0,0,0,0,0,0,0,0,1.96,1.96
