stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,4.1,1.64,0,0,0,3.28,0,0.82,1.64,5.75,0,0,0,2.46,0.82,0,0.82,0,0,0,0.82
 36-46,0,0.81,0,0,0,0,0,0.81,0,0.81,7.25,0,0,0,4.03,0,4.83,0.81,2.42,0,0,0,1.61,0,0,1.61,0.81,0,0,0
 48-58,0,0,0.57,1.15,0,0,0,0,0,1.72,20.66,0,0,0,6.89,0,21.8,0,2.87,0,0,0,1.72,0.57,0,2.3,1.72,0,0.57,0
 60-70,0,0,3.93,1.96,0,0,0,0,0,0.98,28.46,0,0,0,10.8,0,48.09,0.98,5.89,0,0,1.96,4.91,0,0,4.91,14.72,0,11.78,0
 72-82,0,2.94,29.45,10.8,1.96,0.98,0,2.94,2.94,4.91,87.37,0,0,0.98,54.97,0.98,77.55,2.94,10.8,0,0.98,3.93,12.76,0,0.98,4.91,33.38,3.93,74.61,0
 84-94,0,3.19,12.74,18.05,0,0,0,5.31,0,7.43,87.09,0,0,0,26.55,0,56.29,3.19,3.19,0,1.06,1.06,4.25,0,2.12,3.19,25.49,4.25,63.72,0
 96-106,0,2.19,16.39,12.02,1.09,2.19,0,4.37,4.37,7.65,109.28,1.09,1.09,1.09,50.27,0,50.27,6.56,15.3,1.09,0,3.28,16.39,1.09,1.09,1.09,18.58,8.74,63.39,0
108-118,0.77,0,10.72,6.89,0.77,0.77,0,1.53,4.6,6.13,101.11,0,0,0,45.19,0,44.43,5.36,14.55,0,0,2.3,24.51,0.77,1.53,2.3,16.09,9.19,60.51,0
120,0,1.96,11.76,7.84,0,0,1.96,0,0,7.84,121.51,0,0,0,58.79,0,35.28,1.96,17.64,0,0,5.88,37.24,0,0,3.92,17.64,9.8,68.59,0
