stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,18.4,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,52.57,10.51,0,0,21.03,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,6,0,2,0,0,0,1,1,0,0,0,0,0,0,4,0,0,2,28,1,0,1,1,0,1,0,4,0,4,17,0,0,0,0,0
 24-34,0,0,0.82,0,1.64,0.82,6.57,0,0.82,0,0.82,0,0,0,0,0,0,0,5.75,0,0,5.75,41.86,0,1.64,0,0,0,2.46,0,0,0,0.82,16.42,0,0,0.82,0,1.64
 36-46,0,0,0,0,0,0,10.47,0,0,0,0.81,0,0,0,0.81,0,0,0,10.47,0,0,0.81,56.4,0,0,0,0,0,3.22,0,0,0,0,16.92,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,14.35,0,0.57,1.15,2.87,0,0,0,0,0,0,0,7.46,0.57,0,2.3,57.95,0,1.15,1.15,0,0,1.15,0,0,0,0,9.75,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,16.69,0,0,0,2.94,0.98,0,0,0,0.98,0,0,10.8,0,0,0.98,51.04,0,0.98,0,0,0,1.96,0,0,0,0,11.78,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,22.58,0.98,0,1.96,5.89,0.98,0,0,0,0,0,0,26.5,0.98,0.98,7.85,50.06,0,0.98,0.98,0,0.98,0,0,0,0,0,1.96,0,1.96,1.96,1.96,0.98
 84-94,0,0,0,0,2.12,2.12,18.05,0,0,2.12,9.56,3.19,0,0,0,0,1.06,0,14.87,0,0,0,15.93,1.06,1.06,1.06,0,0,12.74,0,0,0,0,4.25,0,1.06,4.25,1.06,0
 96-106,0,0,0,0,2.19,1.09,15.3,0,2.19,1.09,8.74,3.28,0,2.19,1.09,0,0,0,12.02,0,0,2.19,27.32,0,0,1.09,0,0,7.65,0,0,1.09,0,1.09,1.09,2.19,0,1.09,0
108-118,0,0,0,0,9.19,1.53,10.72,0,0.77,0,6.89,0,0,0.77,1.53,0.77,0,0.77,13.02,0,0,1.53,29.11,0.77,0.77,0,0,0,9.19,0,0,0,0,0.77,0.77,0,2.3,0,0
120,0,0,0,0,0,0,11.76,0,3.92,0,3.92,0,0,0,3.92,0,1.96,0,11.76,1.96,0,0,45.08,1.96,0,0,0,1.96,7.84,0,0,0,0,1.96,1.96,0,0,0,1.96
