stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,2,0,0,0,1,10,5,0,0,0,0
 24-34,0,0.82,27.09,0,0,0.82,0,0,0.82,0,0,0,0,0.82,1.64,0.82,0,0,11.49,5.75,0,8.21,13.13,0,1.64,0.82,0,0,0,0,0,3.28,4.93,0,0,3.28,0
 36-46,0,0,12.09,0,0,0.81,0,0.81,0.81,2.42,0,0,0,0,0,0,0,1.61,40.28,0.81,0.81,9.67,19.34,0.81,2.42,2.42,0,0,0,0,0,0,8.06,0,0,0.81,0
 48-58,0,0,6.31,0,0,3.44,0,1.72,1.72,8.61,0.57,1.15,0,0,0,0,0.57,2.3,106.15,6.31,0,10.9,9.75,0,0.57,0.57,0,0,0,0,0,0,4.02,0,0,0,0
 60-70,0,0,16.69,0,0,1.96,0.98,0.98,0,6.87,0,0,0,0,2.94,0.98,0,0.98,117.78,0,0,3.93,12.76,0,0,0,0,0,0,0,0,0,0.98,1.96,0,0.98,0
 72-82,0,0,20.61,0,0,13.74,2.94,1.96,0.98,5.89,0,0,1.96,0.98,1.96,0,0,0.98,274.87,2.94,0.98,12.76,14.72,0.98,0.98,0,0,0.98,0,0.98,0,0,2.94,0,2.94,0.98,1.96
 84-94,0,0,30.8,0,0,7.43,0,0,1.06,4.25,0,0,0,1.06,7.43,0,0,2.12,174.17,0,0,4.25,6.37,0,0,0,0,0,0,0,0,0,1.06,5.31,1.06,0,0
 96-106,0,0,25.14,0,1.09,6.56,0,0,1.09,8.74,1.09,0,0,0,3.28,0,1.09,6.56,197.81,1.09,1.09,4.37,12.02,0,5.46,0,0,2.19,0,1.09,0,0,0,6.56,1.09,1.09,1.09
108-118,0,0,10.72,0,0,2.3,0.77,2.3,1.53,3.83,0,0,0.77,1.53,9.19,0,0,0.77,183.07,0,1.53,6.89,11.49,0,0.77,0.77,0,0,0.77,0,0,0,0,0,2.3,0,0
120,0,0,13.72,0,0,3.92,0,0,0,1.96,0,0,0,0,7.84,0,0,1.96,123.47,0,0,5.88,13.72,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0
