stage,endoderm,epidermis,eye,glial,gut,heart,ionocyte,lateral.line,mucous,mural.cell,neural,olfactory,otic,periderm,spinal.cord
 14-21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,2.46,0.82
 36-46,0,0.81,0.81,0,0,0,0,0,0,0,3.22,0,0,2.42,0
 48-58,0,0,0.57,0,0,0,0,0.57,0,0,1.15,0.57,0,1.15,0
 60-70,0,0,0.98,0.98,0,0,0,0,0,0,0.98,0,0,0.98,0
 72-82,0,0.98,1.96,0.98,0,0,0.98,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,0,2.12,0,0,0,1.06,1.06,3.19,0,0,6.37,0
 96-106,0,0,1.09,0,1.09,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0,0,1.53,0,0.77,0,0,0,0.77,0,0.77,0.77,0
120,1.96,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,1.96
