stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,31.54,13.14,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,22.03,0,0,34.62,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,13,30,4,1,0,2,1,0,4,0,0,0,0,0,0,26,0,0,16,35,8,0,0,1,0,0,0,11,1,8,18,0,35,0,0
 24-34,0,0,0,2.46,11.49,6.57,0,1.64,4.1,0,0,9.03,0.82,0,0,0,0.82,2.46,104.25,0.82,0,45.97,55.82,8.21,0,0,0,0,0.82,0,0,5.75,6.57,24.63,0,140.37,0,4.93
 36-46,0,0,0,0,0,4.03,0.81,16.11,4.03,0,0,1.61,3.22,0,0.81,0,0,0.81,149.85,0,0,45.12,13.7,7.25,1.61,0,0,0,0,0,0,8.86,0,10.47,0,88.62,0,3.22
 48-58,0.57,0,0,1.15,0.57,4.59,0.57,22.38,5.74,0,0,5.74,5.16,0,1.15,0,0,4.02,172.72,0,3.44,39.59,18.36,2.3,0,2.3,0,0,0,0,0,6.89,0,4.59,0.57,69.43,0,3.44
 60-70,0,0,0,1.96,0,5.89,1.96,20.61,5.89,0,0,1.96,7.85,0,0.98,0,0.98,0,241.45,0,3.93,25.52,18.65,0,0,0.98,0,4.91,0,0,0,7.85,0,0.98,6.87,55.95,0.98,0
 72-82,0,0,0,1.96,0,9.82,0.98,24.54,13.74,1.96,0,7.85,8.83,0,0,0,0,1.96,424.08,0,7.85,41.23,26.5,2.94,0,0.98,0,1.96,0,0,0,9.82,0,2.94,11.78,103.07,6.87,2.94
 84-94,0,0,0,2.12,0,26.55,3.19,16.99,8.5,2.12,0,4.25,24.43,0,7.43,0,0,3.19,250.64,0,10.62,18.05,9.56,0,0,5.31,0,4.25,1.06,0,0,24.43,0,2.12,10.62,109.39,5.31,1.06
 96-106,0,0,0,4.37,1.09,14.21,2.19,10.93,6.56,4.37,0,5.46,26.23,1.09,6.56,2.19,0,5.46,308.18,0,13.11,18.58,18.58,2.19,1.09,4.37,0,10.93,1.09,0,0,34.97,0,2.19,4.37,132.23,7.65,2.19
108-118,0,0,0.77,3.06,0.77,11.49,3.06,13.79,4.6,6.89,0,3.83,16.09,0.77,4.6,0,0.77,7.66,246.64,0,6.89,15.32,15.32,2.3,0,2.3,0,8.43,0,0,0,18.38,0,0,4.6,85.79,11.49,6.13
120,0,0,0,5.88,0,15.68,1.96,9.8,0,7.84,0,0,15.68,0,5.88,0,0,3.92,166.58,1.96,11.76,5.88,19.6,1.96,0,0,0,0,0,0,0,13.72,0,0,7.84,58.79,0,0
