stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,1091.08,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,28.92,0,13.14,0,0,102.52,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,1175.03,7.89,0,0,199.78,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,6.29,0,0,40.91,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,383.93,15.73,0,0,91.26,0,3.15,3.15,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,7,100,11,39,0,0,0,19,2,1,1,0,3,0,0,3,46,0,0,25,696,8,2,5,6,4,0,36,16,23,34,162,0,5,0,2
 24-34,0,0,0.82,0,13.95,2.46,43.51,0,0.82,0,4.1,1.64,0,0,0,3.28,0,0,0,27.09,0,0,13.13,252,1.64,0,0,0,1.64,0,0,3.28,15.6,3.28,38.58,0,5.75,0,0
 36-46,0,0,0,0,3.22,0,23.36,0.81,0,0,5.64,0,0.81,0.81,0.81,0,0,0,0,24.17,0.81,0,7.25,149.05,0,0,1.61,0,2.42,0,0,0,4.83,0.81,18.53,0,2.42,0,0
 48-58,0,0,0,0,0.57,0,3.44,0.57,0,0,2.3,0,0,0,0.57,0,0,0,0,2.87,0,0,1.72,27.54,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0
 60-70,0,0,0,0,0,0,8.83,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0.98,11.78,0,0,0,0,0,0,0,0,0,0,1.96,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,8.83,0,0,0,3.93,0,0,0,0.98,0,0,0,0,6.87,0,0,0.98,10.8,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,1.06,0,2.12,0,8.5,0,0,0,0,0,0,0,0,0,1.06,0,0,3.19,0,0,1.06,7.43,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,6.56,0,0,1.09,2.19,1.09,0,0,2.19,0,0,0,0,4.37,0,1.09,1.09,4.37,0,0,0,0,0,0,0,0,1.09,0,0,0,1.09,0,2.19
108-118,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0.77,0,0,0.77,0,3.83,0,0.77,5.36,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,1.96,0,3.92,0,0,0,0,1.96,0,0,1.96,0,0,0,0,3.92,0,1.96,7.84,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
