stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,2.63,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,1,3,0,0,0,0,0,0,0,0,0,3,0,0,5,1,0,0,1,1,1,0,3,7,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,1.64,0,0,6.57,0,0,0,0,0.82,0,0,0,2.46,0,0
 36-46,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0.81,3.22,0,0,16.11,0.81,0.81,0,0,1.61,0,0,0,6.45,1.61,0
 48-58,0,0,0,0,1.15,0,0.57,0.57,0,0,0,0,0,0,3.44,0,0.57,14.92,0,0,0,0,0,0,0,0,3.44,1.15,0
 60-70,0,0,0,0,4.91,0,0.98,1.96,0,0,0.98,0,0,0,5.89,0,0.98,12.76,0,0,0,0,2.94,0,0.98,0,3.93,0,0.98
 72-82,0,0,0.98,1.96,4.91,0.98,0,5.89,0,0.98,0.98,0,0,0,7.85,0,1.96,22.58,0,0,0,0,0.98,0,0,0,4.91,2.94,0
 84-94,0,0,3.19,1.06,4.25,0,1.06,4.25,0,2.12,4.25,2.12,0,0,5.31,0,1.06,11.68,0,1.06,0,0,13.81,0,1.06,0,5.31,0,2.12
 96-106,0,0,2.19,0,0,0,1.09,6.56,2.19,0,4.37,0,0,0,5.46,0,2.19,18.58,0,1.09,0,0,5.46,0,0,0,2.19,4.37,0
108-118,0,0,1.53,0.77,0.77,0.77,0,3.06,0.77,0,3.06,0,0.77,0,7.66,0.77,3.83,11.49,0,1.53,0.77,0,1.53,0,3.06,0,0,2.3,0.77
120,0,0,1.96,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0,1.96,0
