stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,39.43,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,144.76,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,246,2,2,0,0,0,42,0,1,0,0,0,0,0,0,0,65,0,0,132,14,312,0,0,0,0,1,8,0,0,78,126,0,0,0,0,0
 24-34,0,0,594.3,0,2.46,0,5.75,4.1,26.27,0,0,0.82,0,0,0,4.93,0,0.82,225.74,4.93,0,247.08,50.89,222.45,0.82,13.13,0,0,2.46,0.82,0,1.64,21.34,64.85,0,0,0.82,0,0
 36-46,0,0,310.99,0,5.64,0.81,7.25,10.47,13.7,0,0,2.42,0,1.61,0,4.83,0,0.81,307.77,4.03,1.61,130.52,39.48,196.58,3.22,12.89,0,0,0.81,0.81,0,4.83,0,22.56,0,0,0.81,0,2.42
 48-58,1.15,0,226.65,0,5.74,0.57,12.05,10.33,10.33,0,0,0,0,0,0,1.72,0.57,0.57,480.27,3.44,1.15,70.58,43.61,130.83,0.57,23.53,0,1.72,0,0,0.57,1.15,0,25.82,0,0,0.57,0.57,5.74
 60-70,0,0,201.21,0.98,7.85,0,17.67,2.94,11.78,0,0,0,0,0,0,1.96,0,0,774.42,6.87,3.93,62.82,52.02,77.54,0.98,27.48,0,1.96,0.98,0,0,0,0,14.72,0,3.93,0,1.96,0.98
 72-82,0,0,225.78,2.94,35.34,0,9.82,5.89,23.56,0.98,0,0,0,0,0.98,0.98,0,0,1021.91,4.91,11.78,53.99,46.14,66.75,2.94,35.34,0,1.96,3.93,0,0.98,0,0,4.91,0,6.87,4.91,7.85,1.96
 84-94,1.06,0,406.76,0,62.66,0,44.61,3.19,16.99,2.12,0,1.06,0,2.12,2.12,0,0,1.06,732.81,5.31,13.81,45.67,24.43,101.96,4.25,33.99,0,1.06,3.19,0,1.06,0,0,6.37,1.06,9.56,1.06,5.31,2.12
 96-106,0,0,448.07,1.09,24.04,1.09,24.04,2.19,6.56,2.19,0,3.28,1.09,1.09,2.19,2.19,0,0,566.09,4.37,9.84,25.14,41.53,76.5,7.65,48.09,0,5.46,2.19,0,0,0,0,7.65,0,2.19,2.19,7.65,2.19
108-118,0,0,499.41,0,20.68,0,50.55,3.83,12.26,2.3,0,0,0,0,0.77,0.77,0,0,405.96,2.3,7.66,19.92,39.06,57.45,5.36,36.77,0,0.77,1.53,0,0.77,0,0,3.83,0,4.6,0.77,8.43,1.53
120,0,0,454.67,0,19.6,0,52.91,1.96,0,0,0,1.96,0,1.96,3.92,0,0,0,370.4,1.96,3.92,13.72,48.99,117.59,3.92,29.4,0,3.92,0,0,1.96,0,0,0,0,3.92,1.96,1.96,1.96
