stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,447.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,6.13,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,15.77,0,0,15.77,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,226.07,15.77,0,0,97.26,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,9.44,0,0,44.06,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,5,15,0,0,0,1,1,2,0,0,6,17,0,0,0,0,0
 24-34,0,0,0,8.21,0,9.03,0,2.46,1.64,8.21,0,0,0.82,1.64,0.82,0.82,3.28,0,0,22.98,0,0,15.6,81.26,3.28,0,5.75,0,9.85,0,0.82,0,2.46,29.55,0,0,2.46,0,0
 36-46,0,0,0,3.22,0,3.22,0.81,3.22,4.03,7.25,0,0,0.81,0,1.61,1.61,1.61,0,0.81,19.34,0,0,6.45,43.51,0,0,5.64,0,10.47,0,0,0.81,0,18.53,0,0,4.03,0,0
 48-58,0,0,0,4.02,0,5.16,0,1.15,0.57,18.94,0,0,0,0,0,0.57,0,0.57,0,18.94,0,0,4.02,21.23,0,0,4.59,0,5.74,0,0,0.57,0,10.9,0,0,3.44,0,1.72
 60-70,0,0,0,5.89,0,7.85,0,1.96,0.98,19.63,0,0,1.96,0.98,0.98,3.93,3.93,0,0,39.26,0,0.98,4.91,14.72,0.98,0,9.82,0,12.76,0,0,0,0,10.8,0,1.96,2.94,0,1.96
 72-82,0,0,0,1.96,0,4.91,0,1.96,0,24.54,0,0,1.96,2.94,0.98,0.98,5.89,0,0,33.38,0,4.91,1.96,9.82,0,0,9.82,0,5.89,0,0,0,0,4.91,0.98,0.98,5.89,0.98,0
 84-94,0,0,0,5.31,0,5.31,0,6.37,0,21.24,2.12,0,0,4.25,1.06,0,5.31,0,1.06,28.68,0,1.06,5.31,5.31,2.12,1.06,13.81,0,12.74,0,0,0,0,2.12,1.06,0,5.31,1.06,0
 96-106,0,0,0,2.19,0,2.19,0,0,1.09,7.65,3.28,0,0,2.19,0,1.09,0,1.09,1.09,17.49,1.09,1.09,3.28,8.74,0,0,1.09,0,14.21,0,0,0,0,2.19,1.09,1.09,3.28,0,0
108-118,0,0,0,4.6,0,5.36,0,0,0,3.83,1.53,0,0,6.13,0.77,0,3.06,0.77,2.3,11.49,0,0,0.77,7.66,0,0.77,6.89,0,6.13,0,0,0.77,0,0.77,0,1.53,4.6,1.53,0
120,0,0,0,25.48,3.92,11.76,0,5.88,1.96,37.24,0,0,1.96,17.64,3.92,1.96,5.88,0,0,27.44,1.96,0,3.92,27.44,0,0,17.64,0,17.64,0,0,0,0,3.92,1.96,1.96,5.88,0,0
