stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,2.63,0,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,76.23,10.51,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,9.44,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,75.53,9.44,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,6,61,6,0,7,0,2,0,3,7,1,1,0,0,0,0,7,0,17,0,0,24,103,37,1,3,0,0,17,11,2,6,29,57,0,0,5,0,0
 24-34,0,0,3.28,0.82,44.33,1.64,0,35.3,0,6.57,2.46,9.85,0,0,2.46,3.28,8.21,0,2.46,1.64,3.28,43.51,3.28,0,39.4,343.12,21.34,4.93,8.21,0,0,87.01,0,6.57,0.82,5.75,111.64,0,0,14.78,0,4.93
 36-46,0,0,0.81,0,13.7,0.81,0,53.98,3.22,7.25,4.83,19.34,0,0,2.42,2.42,3.22,0,3.22,0,4.03,56.4,1.61,0,24.17,381.89,13.7,6.45,1.61,0,0,78.15,0,3.22,1.61,0,119.24,0,0,8.06,0,5.64
 48-58,0,0,0,0,17.21,1.72,0,133.12,2.3,4.59,6.89,39.59,1.72,0,2.87,1.15,1.72,0.57,1.72,1.72,4.59,125.09,2.3,1.72,18.94,425.76,8.61,3.44,6.89,0,0,57.95,0,1.15,2.3,0,113.61,0,0,10.33,0,3.44
 60-70,0,0,0,0,21.59,0,0,244.4,1.96,4.91,5.89,43.19,4.91,0,2.94,1.96,0,1.96,2.94,2.94,2.94,137.41,4.91,4.91,13.74,473.09,2.94,5.89,5.89,0,0.98,60.85,0,4.91,2.94,0,62.82,0,1.96,9.82,1.96,1.96
 72-82,0,0,2.94,0,17.67,11.78,0.98,343.58,0.98,3.93,11.78,87.37,8.83,0,4.91,5.89,4.91,0.98,7.85,2.94,0.98,191.42,5.89,7.85,14.72,535.99,2.94,8.83,10.8,0,1.96,60.86,0,3.93,0,0,34.36,0.98,2.94,30.43,3.93,2.94
 84-94,0,0,2.12,0,36.11,12.74,2.12,255.95,4.25,6.37,7.43,42.48,19.12,3.19,2.12,14.87,4.25,5.31,11.68,3.19,0,133.82,9.56,3.19,9.56,252.76,7.43,7.43,13.81,0,2.12,140.19,0,2.12,0,0,22.3,4.25,3.19,21.24,7.43,3.19
 96-106,0,0,1.09,0,41.53,13.11,7.65,179.23,1.09,6.56,3.28,38.25,14.21,0,4.37,12.02,10.93,8.74,8.74,3.28,2.19,111.47,5.46,3.28,9.84,232.78,7.65,8.74,8.74,0,1.09,134.42,0,4.37,0,0,19.67,0,3.28,16.39,5.46,4.37
108-118,0,0,0.77,0,43.66,3.06,20.68,147.06,0,6.89,3.06,42.13,28.34,0,1.53,12.26,9.96,6.89,5.36,6.13,1.53,68.17,5.36,4.6,8.43,255.07,4.6,13.79,15.32,0,0.77,75.83,0,4.6,3.06,0,9.19,6.89,1.53,17.62,5.36,3.06
120,0,0,0,0,43.12,15.68,7.84,105.83,3.92,5.88,3.92,37.24,35.28,0,3.92,29.4,3.92,1.96,1.96,3.92,1.96,52.91,1.96,0,13.72,323.36,5.88,9.8,11.76,0,0,80.35,0,11.76,0,0,9.8,5.88,3.92,11.76,1.96,1.96
