stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,20,0,0,0,0,0,0
 24-34,0,0,0,11.49,0,0,0.82,0,0,0,0,1.64,0,2.46,0,0.82,0,0.82,10.67,0,0,66.49,0,0,0,13.13,0,56.64,0,1.64,0,0,0,0
 36-46,0,0,0,3.22,0,0,0,0,0,0,3.22,0.81,0,0.81,0,0.81,0,1.61,8.86,0,0,111.99,0,0,0,13.7,0,29,0,0.81,0,0,0,0
 48-58,0,0,0,9.18,0,2.87,0.57,0,0.57,0,7.46,2.3,0,0,0,0,0,0.57,12.62,0,0,58.53,1.15,0,0,10.9,0,17.21,0,1.72,0,0,0,0
 60-70,0,1.96,0,3.93,0,8.83,0,0,8.83,0.98,5.89,0,0.98,0.98,0,0,0,3.93,11.78,0,0.98,36.32,0.98,0,0,2.94,0,24.54,0.98,0,3.93,0,0,0
 72-82,0,1.96,0,13.74,0,20.61,0.98,0,35.34,13.74,2.94,0,0,0,0,0,0.98,0.98,34.36,0,0.98,45.16,0,0,0,1.96,0,44.17,0,0.98,23.56,0,0,0.98
 84-94,0,4.25,0,15.93,1.06,29.74,4.25,0,39.3,54.16,1.06,0,0,2.12,0,1.06,1.06,5.31,27.61,0,0,45.67,1.06,1.06,1.06,9.56,0,101.96,0,3.19,116.82,2.12,2.12,0
 96-106,0,2.19,0,24.04,1.09,37.16,0,2.19,69.94,81.96,0,2.19,2.19,2.19,0,0,3.28,6.56,34.97,0,1.09,34.97,0,1.09,1.09,24.04,1.09,95.08,0,3.28,194.53,2.19,0,0
108-118,0,3.83,0.77,18.38,0,40.6,2.3,0.77,56.68,81.96,0,0,1.53,2.3,1.53,0.77,0.77,2.3,19.15,0.77,0.77,26.04,0,0,0,13.02,0,79.66,0,0,216.77,0.77,0.77,0.77
120,0,0,0,17.64,0,21.56,1.96,0,43.12,39.2,0,0,0,3.92,0,0,0,0,17.64,0,1.96,15.68,0,0,0,7.84,0,48.99,0,0,58.79,0,0,0
