stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,2,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,14,1,0,0,0,0,0,3,0,0,2,5,0,0,1,0,0
 24-34,0,0,0.82,9.85,0.82,0,19.7,0.82,1.64,0,1.64,0.82,0.82,0,1.64,0,0,1.64,0.82,0,17.24,0,0,4.1,184.69,2.46,1.64,1.64,0,0,22.98,0,0.82,1.64,0.82,32.83,0,0,2.46,0,2.46
 36-46,0,0,0,20.95,4.03,0,27.39,16.92,4.83,0,2.42,0,0,0.81,1.61,4.03,0,0.81,0,0,12.09,0,0,4.03,104.74,4.03,1.61,4.03,0.81,0,39.48,0,0.81,4.03,0,12.09,0,0.81,6.45,0,2.42
 48-58,0,0,0,15.49,2.3,0,30.41,10.33,3.44,0.57,10.33,0,0.57,1.15,1.15,0.57,0.57,0,0.57,0,8.03,1.15,0.57,2.3,91.81,2.87,1.15,2.3,0,0,22.38,0,0,2.87,0,4.02,0,0,4.02,0,0.57
 60-70,0,0,0,33.37,6.87,0,95.21,8.83,8.83,1.96,19.63,2.94,0,0,4.91,3.93,2.94,2.94,1.96,0,41.22,0,1.96,4.91,177.66,3.93,2.94,2.94,0,0.98,44.17,0,4.91,2.94,0,17.67,0.98,0.98,6.87,0,0
 72-82,0,0,0,16.69,12.76,0,57.92,0.98,5.89,3.93,12.76,5.89,0,0,2.94,0.98,2.94,2.94,2.94,0,40.25,1.96,1.96,4.91,103.07,1.96,3.93,2.94,0,0,24.54,0,0,0,0,4.91,0.98,0.98,2.94,0.98,2.94
 84-94,0,0,0,1.06,2.12,0,15.93,0,0,0,4.25,0,0,0,4.25,1.06,0,0,0,1.06,14.87,0,1.06,1.06,26.55,0,1.06,0,0,0,10.62,0,0,0,0,2.12,0,0,3.19,2.12,0
 96-106,0,1.09,0,0,3.28,0,7.65,0,0,0,5.46,1.09,0,0,2.19,0,0,0,0,1.09,2.19,0,0,0,6.56,0,0,3.28,0,0,6.56,0,0,0,0,1.09,0,0,1.09,1.09,0
108-118,0,0,0,0,0.77,2.3,14.55,0.77,1.53,3.06,2.3,1.53,0,0,3.06,0,0.77,0,0,0,5.36,0,0.77,1.53,12.26,0,0,1.53,0,0.77,3.83,0,0,0,0,0,0,0,0.77,0.77,0.77
120,0,0,0,7.84,3.92,0,13.72,0,0,0,1.96,1.96,0,0,1.96,1.96,0,1.96,0,0,5.88,1.96,0,0,39.2,0,0,0,0,1.96,5.88,0,0,0,0,0,0,0,3.92,1.96,0
