stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,13.14,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,15.73,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,2,0,0,2,0,0,0,0,10,0,0,0,2,1,0,0,28,0,0,0,1,1,3,0,4,12,0,0,0,0
 24-34,0,0,0,0,0,0,2.46,0.82,0,0.82,0.82,0,0,0,10.67,0,0,0,0,0.82,0,0,64.85,0.82,0,0,0,0,0,0,0.82,5.75,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0.81,0,0,0,2.42,0,0,0,120.04,0,0,0,0,0.81,0,0,0,15.31,0,0,0,0
 48-58,0,0,0,1.72,0,0,13.77,0,0,5.74,0,0,0,0.57,1.72,0,0,0,4.59,0,0,0.57,158.37,0,0,0,0,0,0,0,0,8.61,0,0.57,0,0.57
 60-70,0,0,0.98,0.98,0,0,54.97,0,0,15.7,0,0,0,0,0,0,0,0,4.91,0.98,0,0.98,363.16,0,0,0,0,0,0,0,0,22.58,0,0,0,1.96
 72-82,0,0,0,11.78,3.93,0,124.67,0,0,38.28,0.98,0,0.98,0.98,1.96,0.98,0.98,0,4.91,0,0,0.98,459.42,0,0.98,0.98,0,0.98,0,0,0,12.76,0.98,3.93,0,1.96
 84-94,0,0,0,11.68,0,1.06,84.96,0,0,28.68,2.12,0,0,1.06,3.19,0,0,0,6.37,0,1.06,1.06,234.71,0,3.19,0,0,5.31,0,0,0,8.5,0,3.19,0,1.06
 96-106,0,0,0,27.32,2.19,1.09,92.89,0,1.09,31.69,4.37,0,0,2.19,4.37,0,0,0,17.49,0,1.09,0,257.91,0,2.19,3.28,0,0,0,0,0,6.56,1.09,0,1.09,2.19
108-118,0,2.3,0.77,26.04,0.77,0,75.83,0,0,41.36,0.77,0,0,0,3.83,0.77,0,0.77,12.26,0.77,0,0.77,356.94,0,3.83,1.53,0,0,0,0,0,6.89,0.77,1.53,0,0
120,0,0,0,21.56,0,0,50.95,1.96,0,25.48,3.92,0,0,0,0,0,0,0,11.76,0,0,0,425.27,0,1.96,1.96,0,1.96,0,0,0,3.92,0,0,0,0
