stage,epidermis,eye,fin_epithelia,glial,gut,mesenchyme,muscle,neural,notochord,olfactory,periderm,slow_muscle,spinal_cord
  7-9,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,0,0,0,0,1
 24-34,0,0,0.82,0,0,0.82,0.82,6.57,0,0,0.82,0,1.64
 36-46,0.81,2.42,0,0.81,0,0,0.81,9.67,0,0,0,0,1.61
 48-58,0,1.15,0,1.15,0,2.3,0,15.49,0,0.57,0,0,2.3
 60-70,0,5.89,0,0,0,0.98,0,18.65,0,0,0,0.98,3.93
 72-82,0,16.69,0,0,0,1.96,0,22.58,0,0.98,0,0,1.96
 84-94,1.06,6.37,0,0,1.06,0,0,8.5,0,0,0,0,2.12
 96-106,0,8.74,1.09,1.09,0,0,0,13.11,0,0,0,0,0
108-118,1.53,3.06,0,0,0,0.77,0,4.6,0,0.77,0,0,0
120,0,1.96,0,0,0,1.96,0,7.84,0,0,1.96,0,0
