stage,epidermis,erythrocytes,eye,heart,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0
 48-58,0,1.15,0.57,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,11.78,0,1.96,0.98,0,0,0.98,0.98,0.98,0,0,0.98
 84-94,0,6.37,0,0,0,0,1.06,0,0,1.06,0,0,0
 96-106,1.09,5.46,0,0,0,0,1.09,0,0,1.09,0,0,0
108-118,0,3.06,0,0,0,0.77,0,0,0,0,0,0.77,0
120,0,3.92,0,0,0,0,0,0,0,0,0,0,0
