stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,1,0,0,0,3,0,1,6,0,0,0,0
 24-34,0,0,0,3.28,0,0.82,0,0,0,1.64,0,0,0,0,0,21.34,0,0,21.34,5.75,0.82,0.82,0,0,0.82,0,0,0.82,28.73,0,0,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0.81,0,0,0,0,0,40.28,0,0,18.53,2.42,1.61,1.61,0,0,0,0,0,0,21.75,0,0,0,0
 48-58,0,0,0,1.72,0,2.87,0.57,1.15,0.57,0.57,0,0,0,0,0,44.76,0,0,9.18,1.72,0.57,2.87,0,0,0,0,0,0,22.95,0,0,0,0
 60-70,0,0,0,4.91,0,4.91,0,1.96,0,2.94,0.98,0,0,0.98,0,74.6,0,0.98,5.89,3.93,2.94,1.96,0,0,0,0,0,0,10.8,0,0.98,0,0
 72-82,0,0,0,9.82,0,3.93,0,0.98,1.96,3.93,0.98,0,0,0.98,0,76.57,0,0.98,13.74,1.96,2.94,3.93,0,0,0,0,0,0,9.82,0,0,0,0.98
 84-94,0,0,0,8.5,0,12.74,1.06,6.37,1.06,4.25,1.06,0,0,0,1.06,70.09,0,1.06,12.74,1.06,4.25,3.19,0,0,0,0,1.06,0,8.5,0,1.06,0,0
 96-106,0,0,0,4.37,1.09,8.74,0,0,2.19,5.46,0,1.09,0,0,0,53.55,0,2.19,6.56,8.74,4.37,7.65,0,0,0,0,0,0,4.37,0,1.09,0,1.09
108-118,0,0,0,3.83,0,14.55,0,3.06,0,2.3,0,0,1.53,0,0,42.89,1.53,0,0.77,3.06,6.13,7.66,0,0.77,0,0,0,0,2.3,0.77,0,0,0
120,0,0,1.96,9.8,0,7.84,0,1.96,0,3.92,0,0,0,0,0,21.56,0,0,1.96,1.96,9.8,3.92,0,0,0,0,0,0,1.96,0,1.96,1.96,0
