stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,355.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,10.51,0,18.4,0,0,0,31.54,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,297.04,2.63,0,0,115.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,25.18,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.99,3.15,0,0,84.97,0,0,40.91,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,12,7,0,13,0,0,0,5,0,1,1,1,0,0,0,1,0,14,0,9,168,4,0,1,6,2,29,2,7,30,59,0,0,2,0,0
 24-34,0,0,0,0,0.82,0,0,22.16,0,0,0,1.64,1.64,0,0,0.82,0.82,0,0,0,0,7.39,0,3.28,90.29,0,0,0.82,0,2.46,0,0,2.46,4.1,16.42,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,29.81,5.64,0,0,3.22,0,0,0,7.25,0,0.81,0,0.81,0,4.83,0,3.22,98.29,0,1.61,1.61,0,0,0.81,0,2.42,0.81,20.95,0,0,0.81,0,0.81
 48-58,0,0,0,0,1.15,0,0,60.82,9.18,0,0,8.61,0.57,0,0.57,1.72,0,0,0,0,0.57,12.62,0,3.44,103.28,0,1.15,0,0,1.15,0,0,3.44,0,14.35,0,0,2.3,0,2.3
 60-70,0,0,0,0,0,0,0,22.58,6.87,0.98,0,2.94,0.98,0,0,10.8,0,0,0,0,0,1.96,0,0.98,25.52,0,0,0,0,1.96,0,0,2.94,0,0,0,0,0.98,0,0
 72-82,0,0,0.98,0,1.96,3.93,0,37.3,0.98,0.98,0,15.71,0.98,0,0,5.89,0,0,0,0,0,12.76,0.98,1.96,69.7,0.98,0.98,2.94,0,0,0,0.98,3.93,0,4.91,0.98,0.98,0,0,0.98
 84-94,0,0,1.06,1.06,4.25,1.06,1.06,77.53,4.25,0,0,11.68,2.12,0,0,7.43,1.06,0,1.06,0,1.06,14.87,0,3.19,60.54,0,0,3.19,0,3.19,0,1.06,2.12,0,3.19,0,0,7.43,2.12,0
 96-106,0,0,1.09,0,4.37,1.09,0,41.53,4.37,0,1.09,5.46,0,0,0,30.6,1.09,1.09,1.09,1.09,0,16.39,2.19,5.46,50.27,1.09,6.56,1.09,1.09,0,0,3.28,3.28,0,2.19,1.09,0,8.74,0,0
108-118,0,0,1.53,0,0.77,1.53,0,44.43,2.3,0.77,0,20.68,2.3,0,0,33.7,3.83,0,0,0,0,9.19,0.77,3.06,88.85,0,4.6,4.6,0,3.83,0,0,4.6,0,0.77,0.77,0,2.3,0,0.77
120,0,0,0,0,3.92,5.88,0,27.44,7.84,0,0,13.72,1.96,0,0,37.24,0,1.96,0,1.96,0,11.76,1.96,0,109.75,0,0,1.96,0,11.76,0,0,1.96,0,0,1.96,0,3.92,0,0
