stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,2,0,6,0,0,16,0,0,9,10,0,0,0,1,46,56,6,0,0,0,0,0
 24-34,0,3.28,0.82,0,4.1,0,0,0,0,2.46,0,0.82,9.85,0,0.82,5.75,25.45,0,0,0,13.95,3.28,2.46,16.42,0,0,2.46,0,0
 36-46,0,0,0.81,0,2.42,0,0,0,0,3.22,0,0,9.67,0,0.81,2.42,31.42,0.81,0,0.81,10.47,1.61,0,8.86,0,0,0,0,0
 48-58,0,0,0,0,2.3,0.57,0.57,1.15,0,2.3,0,0,4.59,0,2.3,0.57,27.54,0,0.57,0,1.15,1.15,0,8.61,0,0.57,0,0,0
 60-70,0,0,0.98,0,10.8,1.96,0,4.91,0,2.94,0,0,7.85,0,5.89,0,27.48,0,0,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,4.91,2.94,0,25.52,0,0.98,7.85,0.98,0.98,0,0.98,4.91,0,8.83,0.98,39.27,0,0,0,0,0.98,0,0.98,3.93,0.98,0.98,5.89,0.98
 84-94,0,4.25,4.25,0,21.24,0,0,3.19,0,4.25,0,0,3.19,0,1.06,0,13.81,0,1.06,0,0,1.06,0,1.06,11.68,3.19,0,7.43,0
 96-106,0,4.37,10.93,1.09,22.95,0,0,5.46,0,10.93,4.37,1.09,8.74,0,5.46,0,18.58,0,0,0,3.28,0,0,1.09,15.3,3.28,0,6.56,0
108-118,0,3.06,5.36,0,40.6,0,0.77,1.53,0,6.89,2.3,0,5.36,0.77,4.6,0.77,26.04,0,0,0,0,2.3,0,0.77,13.79,1.53,0,5.36,0.77
120,0,3.92,9.8,0,21.56,0,0,1.96,5.88,3.92,1.96,0,3.92,0,7.84,1.96,15.68,1.96,0,0,0,0,0,1.96,1.96,0,0,9.8,0
