stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,heart,iridophores,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,somites,vasculature
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,116.46,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0
  7-9,0,0,7.89,0,0,0,0,0,0,0,0,0,5.26,0,65.72,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,12.59,0,69.23,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0.82,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0.81,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0,0.98,0,0,2.94,0.98,0,0,0,0,0,0.98
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,2.19,1.09,0,1.09,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0.77,0.77,2.3,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
