stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,15.73,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,21,11,0,2,1,0,0,3,0,3,4,0,0,0,0,0,20,0,0,13,22,1,0,1,1,0,14,8,2,1,16,14,0,0,0,0,0
 24-34,0,0,0.82,0.82,9.03,0.82,0,4.1,2.46,0,1.64,0.82,0,4.93,7.39,2.46,0,0,0,0,8.21,0.82,0.82,10.67,31.19,0,0,1.64,0,0.82,22.16,0,0.82,0,2.46,8.21,0,0,0.82,0,0.82
 36-46,0,0,0,0,4.03,0,0,2.42,0.81,0,2.42,0,0,2.42,7.25,0,0.81,0,0,0,19.34,0,0,4.83,34.64,0,0.81,0,0,0.81,26.59,0,0.81,0,0,2.42,0,0,1.61,0,0
 48-58,0,0,0,0,3.44,0,0,10.33,1.15,2.3,6.31,0.57,0,2.3,9.18,0.57,0,1.72,0.57,0,26.4,1.15,1.72,6.89,21.8,0.57,1.15,0,0,1.15,33.85,0,0,0,0,5.16,0,0,2.87,0,1.15
 60-70,0,0,0,0,4.91,0,0,8.83,0.98,1.96,14.72,0.98,0.98,0.98,10.8,1.96,0,0.98,0,0.98,44.17,0.98,3.93,4.91,21.59,0,0,1.96,0,0,51.04,0,0.98,0,0,0.98,0,0,2.94,0,0
 72-82,0,0,2.94,0,10.8,0,0,18.65,0,0.98,10.8,0.98,0,0.98,29.45,0.98,0,0.98,0,0,44.17,1.96,3.93,8.83,23.56,0,2.94,2.94,0,0,43.19,0,1.96,0,0,3.93,3.93,3.93,2.94,3.93,1.96
 84-94,0,0,3.19,0,6.37,2.12,0,10.62,2.12,4.25,4.25,4.25,0,2.12,36.11,2.12,0,2.12,1.06,0,25.49,4.25,2.12,3.19,11.68,0,4.25,3.19,0,2.12,140.19,0,6.37,0,0,1.06,0,0,1.06,3.19,1.06
 96-106,0,0,0,0,25.14,2.19,1.09,15.3,5.46,1.09,6.56,7.65,0,0,50.27,6.56,0,0,2.19,0,29.51,0,3.28,5.46,25.14,0,4.37,3.28,0,1.09,158.46,0,2.19,0,0,0,1.09,2.19,1.09,5.46,0
108-118,0,0,1.53,0,22.21,0.77,0,11.49,3.06,0,6.89,4.6,0,0,50.55,3.06,1.53,0.77,1.53,0.77,30.64,2.3,2.3,3.06,22.98,0.77,0.77,2.3,0,1.53,105.7,0,3.06,0.77,0,2.3,0.77,0,3.83,3.06,0
120,0,0,0,0,17.64,7.84,0,1.96,0,1.96,7.84,5.88,0,1.96,33.32,0,0,1.96,3.92,0,15.68,0,5.88,5.88,17.64,0,1.96,3.92,0,0,58.79,0,1.96,0,0,0,0,3.92,3.92,1.96,0
