stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,xanthophores
  3-4,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.02,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.63,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,31.54,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,12.59,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,91,2,0,0,0
 24-34,0,3.28,0,0.82,0.82,0,0,0,0,0,0.82,0,0,0,2.46,0.82,13.13,0,0,0,0,259.39,0.82,0,0,0
 36-46,0,0.81,0,4.03,0,0,0,0,0,0,0,0,0,0.81,0.81,0,8.86,0,0,0,0,249.76,0.81,0,0,0
 48-58,0,1.15,0.57,2.87,0,0,0.57,0.57,0,0.57,0,0,0,2.87,2.3,0,17.21,0,0,0,0,232.39,2.87,0,0,0
 60-70,0,0.98,0,3.93,1.96,0,0.98,0,0,0,0.98,0,0,0,3.93,0,12.76,0,0,0,0,241.45,1.96,0,0,0
 72-82,0,16.69,0.98,1.96,1.96,0,2.94,0,0.98,0,0,0,0,3.93,0,0,20.61,0.98,0.98,0.98,0,268.98,4.91,0,0.98,0.98
 84-94,0,21.24,1.06,4.25,9.56,0,2.12,0,0,0,9.56,0,0,2.12,6.37,1.06,9.56,0,1.06,0,0,886.8,5.31,0,0,0
 96-106,0,39.34,2.19,7.65,13.11,2.19,1.09,3.28,0,0,10.93,1.09,0,2.19,12.02,0,20.76,1.09,1.09,1.09,0,785.76,1.09,1.09,1.09,0
108-118,0,39.06,0.77,3.06,27.57,0,0.77,3.06,0,1.53,17.62,0,0.77,1.53,6.13,2.3,16.85,0,0.77,0,0,613.54,0.77,0,0.77,0
120,0,39.2,0,0,21.56,0,1.96,1.96,0,1.96,9.8,0,1.96,0,5.88,0,9.8,0,1.96,0,0,409.6,1.96,0,0,0
