stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,31.47,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,16,5,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,6,22,0,0,0,0,0,0,0,1,0,5,3,8,0,0,0,0,0
 24-34,0,0,0,22.98,0,0,13.13,0,0,0.82,0,0,0,0,0,0.82,0,0,2.46,0,5.75,0,0,4.1,9.03,0.82,0,0,0,0,4.1,0,0,0,0,0,4.93,0,0,0.82,0,0
 36-46,0,0,0,18.53,0,0,241.7,0,0.81,3.22,0,0,0,0,0.81,0,0,0,0.81,0,2.42,0,0,0.81,16.11,0,0,0,0,0,7.25,0,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,20.08,0,0,955.96,0.57,1.15,2.3,6.31,0,0,0,0.57,0,0,0,0,1.15,10.33,2.3,0,4.02,56.81,0.57,0,0,0,0,5.74,0,0,0,0.57,0,8.61,0,0,1.72,0,0.57
 60-70,0.98,0,0,4.91,0,0,1747.11,0,1.96,2.94,7.85,0,0,0.98,1.96,0.98,0.98,0.98,0,0,25.52,0,0.98,2.94,80.48,0,0,0,0,0,10.8,0,0,0.98,0,0,12.76,0,0,0,0,0.98
 72-82,0,0,0.98,10.8,10.8,0,1468.57,1.96,0.98,2.94,24.54,2.94,0.98,2.94,1.96,2.94,3.93,0.98,1.96,0.98,47.12,0,0.98,4.91,126.63,0.98,3.93,5.89,0,0,7.85,0,0,0,0,0,8.83,3.93,0,5.89,3.93,3.93
 84-94,0,0,2.12,32.92,5.31,0,1614.3,1.06,1.06,2.12,21.24,2.12,0,0,2.12,1.06,0,1.06,2.12,0,46.73,1.06,5.31,5.31,57.35,2.12,1.06,2.12,0,0,5.31,0,0,1.06,0,0,5.31,2.12,2.12,6.37,5.31,4.25
 96-106,0,0,1.09,10.93,10.93,0,855.7,3.28,1.09,1.09,17.49,0,0,1.09,6.56,4.37,2.19,1.09,4.37,0,29.51,1.09,2.19,5.46,81.96,1.09,1.09,2.19,0,2.19,16.39,0,0,1.09,1.09,0,2.19,2.19,1.09,4.37,2.19,2.19
108-118,1.53,0,0.77,10.72,9.96,1.53,620.43,0.77,3.83,0.77,16.09,0.77,0,1.53,0,2.3,0,0,3.83,0,41.36,1.53,2.3,6.13,111.83,2.3,0.77,0,0,1.53,7.66,0,0,0.77,0,0,4.6,1.53,0,1.53,0.77,2.3
120,0,0,0,5.88,3.92,0,519.34,0,3.92,0,9.8,0,0,0,3.92,1.96,0,1.96,1.96,0,25.48,1.96,1.96,0,86.23,0,0,1.96,0,0,1.96,1.96,0,0,0,0,1.96,0,0,1.96,0,0
