stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,1,0,3,0,0,0,1,0,0,0,3,0,4,20,1,0,0,0,1,6,2,5,0,0,0,0
 24-34,0,0,0,0,3.28,0,0.82,0,0,0,0,0,3.28,0,1.64,28.73,0.82,0,0,0,0,0,1.64,4.1,0,0,0,0
 36-46,0,0.81,0,0,4.83,0,0.81,0,0,0,0,0.81,8.06,0,2.42,29.81,0,0,0,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,0,6.89,0,3.44,0,0,0,0,0,5.16,0,0.57,26.4,0,0,0,0,0,0,0,2.87,0,0,0,0
 60-70,0,0.98,0,0,15.7,0,0,0,0,0,0,0.98,9.82,0,0.98,12.76,0,0,0,0.98,0,0,0,1.96,0,0,0,0
 72-82,0,0.98,0,0,10.8,0,4.91,0,0,0,0,0,3.93,0.98,0.98,7.85,0,0,1.96,0,0,0,0,0.98,0,1.96,0.98,0
 84-94,0,0,0,0,7.43,0,3.19,0,0,0,0,0,0,0,0,7.43,0,0,0,0,0,0,0,1.06,0,1.06,0,0
 96-106,0,1.09,1.09,0,8.74,0,2.19,1.09,0,1.09,0,0,2.19,0,2.19,5.46,0,0,0,1.09,0,0,0,0,0,2.19,0,0
108-118,0,0,0.77,2.3,7.66,0.77,3.06,0,0,1.53,0.77,0,3.83,0,0,11.49,0,0,0,0,0,0,0,0.77,1.53,1.53,0,0.77
120,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0
