stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,25.18,12.59,0,0,66.09,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,4,29,11,0,6,0,3,0,0,0,0,0,0,0,0,0,0,15,0,78,15,4,0,5,4,0,0,50,0,5,319,19,0,0,0,0
 24-34,0,0,0,9.03,0.82,0,4.1,0.82,15.6,3.28,0,0,0,0,0,0,0,0.82,0,27.91,0,38.58,29.55,5.75,0.82,3.28,0,0,0,0,0,0,42.68,4.93,0,0,2.46,0
 36-46,0,0,0,4.03,0,0,1.61,0.81,2.42,0,0,0,0,0,0,0,0,0.81,0,45.92,0.81,9.67,22.56,0.81,0.81,3.22,0,0,0,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,4.59,0,0,3.44,0,2.87,2.87,0.57,0,0,0.57,0,0,0,0,0,109.02,1.15,21.8,16.64,0,1.72,3.44,0,0,0,0,0,0,0,1.15,0,0.57,2.3,0
 60-70,0,0,0,1.96,0,0,5.89,1.96,0.98,1.96,3.93,0,0,0,0,0,0,0,0,145.27,4.91,31.41,15.7,0,0,1.96,0,0,0,0,0,0,0,1.96,0,1.96,7.85,1.96
 72-82,0,0,0,3.93,0.98,0,12.76,0,0,13.74,11.78,0,0,0,0.98,0,0,0.98,0.98,284.68,2.94,35.34,16.69,0,0,8.83,0,0,0.98,0,0,0,0,0.98,0,2.94,39.27,8.83
 84-94,0,0,0,5.31,0,0,12.74,0,0,4.25,5.31,0,0,0,0,2.12,0,0,0,159.31,5.31,32.92,3.19,0,0,3.19,0,1.06,0,0,0,0,0,2.12,0,1.06,26.55,2.12
 96-106,0,0,0,5.46,1.09,2.19,10.93,0,0,6.56,6.56,0,0,1.09,2.19,0,1.09,0,0,159.56,2.19,24.04,9.84,0,0,6.56,0,1.09,0,0,1.09,0,0,1.09,1.09,3.28,42.62,6.56
108-118,0.77,0,0.77,2.3,0,0,7.66,0,0,3.83,9.19,0.77,0,0,1.53,0.77,0.77,0.77,0,147.06,1.53,22.98,22.98,0,0,5.36,0,0.77,0,0,1.53,0,0,1.53,1.53,0.77,36.77,3.06
120,0,0,0,1.96,0,0,7.84,0,0,1.96,1.96,1.96,0,0,5.88,1.96,0,0,0,101.91,1.96,19.6,5.88,0,0,7.84,0,0,0,0,0,0,0,0,0,1.96,39.2,5.88
