stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,4,91,12,33,0,0,0,7,0,8,2,1,2,0,0,36,2,32,173,3,0,1,5,79,28,5,4,28,38,0,0,0
 24-34,0,2.46,0.82,14.78,0,0,0,0,0,0,0,0,1.64,0,0,6.57,0,0,55,0,0,1.64,0,2.46,0,0,0.82,0.82,7.39,0,1.64,0
 36-46,0,3.22,0,20.95,0,0,0,0.81,0.81,0,0,0,0,0,0,5.64,0,0,46.73,1.61,0,0,0,4.03,0,0,0,0,8.86,0,0.81,0
 48-58,0,0,0.57,22.95,0,0,0,2.87,0,0,0,0,0,0,0,2.87,0,0,22.95,0,0,0,0,0.57,0,0,0,0,4.59,0,0.57,0
 60-70,0,0,0.98,20.61,0,0,0,0.98,0.98,0,0,0,0,0,0,4.91,0,0,16.69,0,0,0,0,1.96,0,0.98,0.98,0,3.93,0,0,0.98
 72-82,0,0.98,0.98,15.71,0,0,0.98,0.98,0,0,0,0,0,0,0,2.94,0,0.98,18.65,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,1.06,1.06,31.86,0,0,0,2.12,1.06,1.06,0,1.06,1.06,0,1.06,1.06,0,1.06,11.68,0,0,0,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,2.19,46.99,0,0,1.09,1.09,1.09,0,0,0,0,1.09,0,3.28,0,0,8.74,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0
108-118,0,3.83,5.36,34.47,0.77,0.77,0.77,3.83,0.77,0,0,0,0.77,0,3.06,6.13,0,0,12.26,0,0.77,0.77,0,1.53,0,0.77,0,0,0,0,0,1.53
120,0,0,1.96,33.32,0,0,0,1.96,0,0,0,3.92,0,0,1.96,3.92,0,0,7.84,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0
