stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,12.59,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.44,12.59,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,26,36,0,1,0,0,0,16,0,1,0,0,0,0,43,0,16,271,23,0,1,0,0,7,0,1,7,439,0,7,0,0
 24-34,0,0,0,9.85,4.1,0,1.64,0,0,1.64,12.31,0.82,0,0.82,0,0,0,50.89,0,18.88,467.07,3.28,0,0,0,0.82,0.82,0,0,8.21,394.01,0,13.13,0,0
 36-46,0,0,0.81,1.61,0.81,0,24.17,0,0,5.64,12.89,0,0,0.81,0,0,0.81,67.68,0,19.34,845.95,4.83,0,0,0,0,0,0,0,0,327.91,0,7.25,0,0
 48-58,0,0,0,4.59,0,0,58.53,0,0,6.31,30.41,0,0,0,0,0,0.57,52.22,0.57,7.46,790.7,1.15,0,0,0,0,0,1.15,0,0,168.12,0,5.74,0,1.15
 60-70,0,0,0,0.98,0,0,49.08,0,0,5.89,39.26,0,0,0,0,0,0,36.32,0,6.87,868.65,2.94,0,0,1.96,0,0,0,0,0,78.52,0,1.96,0,0
 72-82,0,0,0,1.96,0.98,0,49.08,0,0.98,2.94,30.43,0,0,0,0.98,0.98,0,29.45,0,2.94,516.35,0,0,0,1.96,0.98,0,0,0,0,15.71,0,0.98,2.94,0
 84-94,0,0,0,3.19,2.12,0,31.86,0,0,2.12,12.74,0,0,0,0,1.06,0,27.61,0,3.19,242.14,0,1.06,0,0,0,0,0,0,0,7.43,0,0,0,0
 96-106,0,0,0,6.56,2.19,1.09,29.51,0,0,5.46,12.02,0,0,0,0,0,0,18.58,0,1.09,206.55,1.09,0,0,1.09,1.09,0,0,0,0,4.37,1.09,3.28,1.09,0
108-118,0,0,0,2.3,0,0,14.55,0.77,0,3.06,9.96,0,0,0,0,0.77,0.77,13.02,0,0,252.77,0.77,0,0,0,2.3,0,0.77,0,0,3.83,0,0,0.77,0.77
120,0,1.96,0,1.96,0,0,21.56,0,0,1.96,5.88,0,0,0,0,0,0,3.92,0,0,186.18,0,0,0,0,0,0,0,0,0,3.92,0,1.96,0,0
