stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,0,0,9,0,1,0,0,0,3,0,0
 24-34,0,0,0,0,0,6.57,0,0,0,2.46,0,0,0,11.49,0,0,2.46,12.31,0.82,0,4.93,27.91,1.64,0.82,0,0,0,57.46,0.82,0.82,1.64,0,0,4.1,0,0
 36-46,0,0,0,0,0,5.64,0,0,0,1.61,0.81,0.81,0,8.86,0,0,4.83,19.34,0,0,3.22,46.73,0,0,0,0,0,57.2,0,0,2.42,0,0,4.83,0,2.42
 48-58,0,0,0.57,0,0,10.9,0.57,1.72,2.87,4.02,0.57,0.57,0,5.16,1.72,0,2.87,16.07,0,0,2.87,43.61,0,1.72,0.57,0,0,45.9,0,0,4.59,0,0,7.46,0,1.72
 60-70,0,0,2.94,0,0,13.74,0,5.89,0,2.94,0,0,2.94,4.91,0,0,1.96,23.56,0,0,6.87,78.52,0,3.93,0,0,0,48.09,1.96,0,3.93,0,0,9.82,0,4.91
 72-82,0,0.98,5.89,0.98,0,25.52,0,0.98,3.93,10.8,0.98,0,1.96,8.83,0.98,0,0.98,33.38,0,0.98,3.93,196.33,0,1.96,0,0,0,70.68,0.98,0,3.93,0,0.98,13.74,1.96,0
 84-94,0,0,10.62,1.06,0,39.3,1.06,4.25,3.19,3.19,3.19,0,1.06,19.12,1.06,0,0,22.3,1.06,0,1.06,137,0,2.12,0,0,0,147.62,1.06,0,4.25,0,0,14.87,3.19,1.06
 96-106,0,0,16.39,3.28,1.09,46.99,0,0,5.46,12.02,7.65,0,4.37,22.95,1.09,3.28,0,22.95,1.09,2.19,2.19,131.14,0,2.19,1.09,0,0,171.58,1.09,0,3.28,1.09,1.09,19.67,1.09,0
108-118,0,0,23.74,2.3,0,57.45,0,5.36,3.06,6.89,15.32,0,2.3,25.28,1.53,0,2.3,25.28,2.3,0,3.83,140.94,0,3.83,0,0,0.77,144.77,1.53,0,2.3,1.53,0,14.55,0,0.77
120,0,0,17.64,0,0,27.44,0,7.84,0,7.84,9.8,1.96,9.8,13.72,1.96,1.96,0,13.72,1.96,1.96,5.88,254.77,1.96,1.96,0,0,0,111.71,0,0,0,0,1.96,13.72,1.96,0
