stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,2.63,0,0,13.14,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.7,3.15,0,0,22.03,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,24,1,0,0,0,0,0,1,4,0,0,5,4,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0.82,4.1,0,0,0,3.28,0,0.82,25.45,0,0,0,0,0,0,0,0,0,2.46,0,7.39,0,0,0
 36-46,0,0,0,1.61,0,0,0.81,0,0,0,2.42,0,0,0,0,0,20.95,0,0,0,2.42,0,0.81,18.53,0,0,0,0,0,0,0,0,0,0,0,3.22,0.81,0,0
 48-58,0,0,0,0,0,0,4.59,0,0.57,0,1.15,0,0,0,0,0,43.04,0,0,0,8.03,0,4.59,15.49,0,0,0,0,0,0,0,0,0,0,0,4.02,1.15,0,0
 60-70,0,0,0,0,0,0,9.82,0.98,0.98,0,0.98,0,0.98,0,0.98,0,83.43,0,0,0,13.74,0.98,1.96,19.63,0,0.98,0,0,0.98,1.96,0,0,0,0,0,1.96,7.85,0,1.96
 72-82,0,0,0,0,0.98,0,6.87,0.98,0,0.98,4.91,0,0,0,0,0,82.46,0.98,0,0.98,11.78,0,0.98,31.41,0,0,0.98,0,0.98,0.98,0,0,0,0,0,4.91,17.67,0,0.98
 84-94,0,0,0,0,2.12,0,9.56,0,0,0,4.25,0,0,0,2.12,0,142.31,0,0,0,11.68,0,0,16.99,0,0,0,0,0,6.37,0,0,1.06,0,0,3.19,18.05,0,4.25
 96-106,1.09,0,1.09,0,3.28,0,6.56,0,0,0,1.09,1.09,0,0,2.19,0,142.07,0,1.09,1.09,15.3,0,2.19,18.58,1.09,1.09,0,0,2.19,2.19,1.09,0,1.09,0,0,4.37,21.86,1.09,2.19
108-118,0,0,0,0.77,2.3,0.77,5.36,0,0.77,0,3.83,0.77,0,1.53,0,0,200.68,0,0.77,0,8.43,0,0,14.55,0,0.77,0,0,2.3,3.06,0,0,0,0,0,1.53,16.85,0,2.3
120,0,0,0,3.92,0,0,0,0,0,0,3.92,0,0,0,0,0,145.02,0,0,0,3.92,0,0,17.64,0,1.96,0,0,0,0,0,0,0,0,0,0,13.72,0,3.92
