stage,blastomeres,epidermis,eye,fin.epithelia,glial,mesenchyme,mural.cell,muscle,neural,otic,periderm,presomitic.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,4.93,0.82,0.82,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,8.86,0,0.81,0,1.61,0,0,0
 48-58,0,0,2.87,0,1.15,1.72,0,0.57,16.07,0,0,0,2.3,0,0,0
 60-70,0,0,0,0,1.96,0.98,0,0,25.52,0,0.98,0,1.96,0,0,0
 72-82,0,0.98,1.96,0,0.98,0.98,0,0,32.39,0.98,0,0,0.98,0,0,0.98
 84-94,0,0,1.06,0,1.06,0,1.06,0,16.99,0,1.06,0,0,0,0,0
 96-106,0,1.09,3.28,0,0,0,0,0,15.3,0,1.09,0,0,0,0,0
108-118,0,0,2.3,0.77,3.06,0.77,0,0,14.55,0,0,0,0,0,0.77,0.77
120,0,3.92,3.92,1.96,3.92,5.88,0,0,29.4,1.96,3.92,0,0,1.96,0,1.96
