stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,10.51,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,1,29,9,1,0,0,0,0,1,1,0,0,1,0,0,0,0,2,2,0,4,36,7,0,1,2,0,85,6,0,1,3,16,0,0,5,0,0
 24-34,0,0.82,2.46,0.82,2.46,0,0,0,0.82,0,0,1.64,0,0,0,0,0,0,6.57,0,0,2.46,24.63,0.82,0,0,0,0,36.94,0,0,0,0.82,8.21,0,0,5.75,0,0
 36-46,0,0,0,0.81,1.61,0,0,2.42,6.45,0,0,0.81,0.81,0,0,0,0.81,0,11.28,0,0,4.03,30.62,0,0.81,0,0,0,29.81,0,0,0,0,12.09,0,0,4.03,0,0
 48-58,0,0,0,0,4.02,0,0.57,0.57,9.18,0,0.57,0,1.72,0,0,0,0,0,9.75,0,0,1.15,7.46,0,0,0,0,0,13.77,0,0,0,0,1.72,0,0,4.02,0,1.15
 60-70,0,0,0.98,0,7.85,0.98,0.98,0,29.45,0,0.98,0,5.89,0,0,0,0.98,0.98,26.5,0,0.98,0.98,11.78,0,0,0.98,0,0,25.52,0,0,0,0,4.91,0,0.98,0,0,0.98
 72-82,0,0,2.94,0.98,12.76,0,0,0.98,48.1,0.98,0,0,12.76,1.96,0,0,0,0,19.63,0,0,0.98,5.89,0,0.98,2.94,0,0,2.94,0,0,0,0,0.98,0,2.94,1.96,0,0
 84-94,0,0,5.31,1.06,35.05,1.06,0,1.06,39.3,0,0,2.12,7.43,1.06,0,0,1.06,0,13.81,1.06,0,2.12,1.06,0,0,0,0,1.06,15.93,0,0,0,0,1.06,0,1.06,2.12,1.06,1.06
 96-106,0,0,2.19,0,40.44,0,1.09,1.09,66.66,0,0,2.19,14.21,8.74,1.09,1.09,0,0,12.02,1.09,0,1.09,7.65,0,0,1.09,0,0,51.36,0,0,0,0,3.28,0,1.09,5.46,0,0
108-118,0,0,6.89,0,64.34,0,1.53,0.77,57.45,0.77,0,0,13.79,3.06,0,0,0.77,0,16.09,0.77,1.53,0,10.72,0,0.77,0.77,0,0.77,41.36,0,0,0,0,0,0.77,1.53,0.77,0,0
120,0,0,15.68,0,25.48,0,3.92,1.96,60.75,1.96,0,0,17.64,3.92,0,0,0,0,9.8,0,0,0,15.68,0,0,1.96,0,0,43.12,0,1.96,0,0,0,1.96,1.96,3.92,0,0
