stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,9,0,4,0,1,0,14,0,0,0,0
 24-34,0,0.82,0,0,0,0,0.82,0,0.82,0,0,0,0,1.64,0,0,1.64,0,0,113.28,0.82,24.63,0,0,0,50.89,0,0,0,0
 36-46,0,0,0.81,0,0,3.22,0,0,0.81,0,0,0.81,0,0,0,0.81,1.61,0,0.81,236.87,0,23.36,0,0,0,69.29,0,0,0,0
 48-58,0,0.57,0.57,0,0,8.03,0,0,0.57,0,0.57,0,0.57,0,0.57,0,6.31,0,1.15,216.9,0,11.48,0.57,0,0,61.97,0,0,0,0
 60-70,0,0,0,0,0,38.28,0.98,0,7.85,0,0,0,0,1.96,0,0,11.78,0,0,323.9,0.98,8.83,0,0,0,92.26,0,0,0,0
 72-82,0,0.98,3.93,0.98,0,106.02,0.98,1.96,9.82,0.98,0.98,0,0.98,0,0.98,0,20.61,0.98,0,376.96,0,26.5,0.98,0,0,72.64,0,0.98,0,0.98
 84-94,0,0,5.31,0,0,75.4,0,0,14.87,0,2.12,0,0,1.06,0,0,9.56,0,0,210.28,0,9.56,4.25,1.06,0,30.8,1.06,1.06,0,0
 96-106,0,0,5.46,0,0,108.19,2.19,0,18.58,0,0,1.09,0,0,2.19,0,20.76,1.09,0,186.88,0,18.58,7.65,2.19,1.09,14.21,0,1.09,1.09,0
108-118,0,3.06,3.06,0,1.53,59.75,0,0,15.32,3.06,0,0,0.77,0.77,1.53,0,15.32,0.77,0,261.96,0,13.79,3.83,0.77,0,13.02,0,0,0,0
120,0,1.96,1.96,1.96,0,58.79,0,0,9.8,5.88,0,0,0,0,5.88,0,13.72,1.96,0,244.97,0,7.84,5.88,0,0,17.64,0,0,0,0
