stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.64,0.82,0,0,0,0,0,0,0,0,0.82,0,3.28,0,0,0,0,1.64,5.75,1.64,0.82,0,0,0
 36-46,0,0,1.61,16.92,0,0.81,0,0,0,0,0,0,2.42,0,0.81,1.61,0,0,0,0,8.06,0.81,1.61,0,0.81,0
 48-58,0,0.57,5.74,22.38,0,1.72,0.57,1.15,0,0,0,0,4.02,0,1.72,12.05,0,0,0,0,7.46,0,6.31,0,0,0
 60-70,0,0,3.93,30.43,0,0.98,0,0,0.98,0,0,0.98,3.93,0,2.94,8.83,0,0,0,0,12.76,0,1.96,0,0.98,0
 72-82,0,0,2.94,11.78,0,1.96,1.96,0,0,0,0,0.98,3.93,0,1.96,8.83,0,0,0,0.98,5.89,0,1.96,0,0,0
 84-94,0,1.06,5.31,24.43,0,2.12,2.12,1.06,0,0,0,0,1.06,0,3.19,7.43,0,0,0,0,4.25,0,1.06,1.06,1.06,1.06
 96-106,0,0,8.74,24.04,0,0,1.09,0,0,0,1.09,0,6.56,1.09,7.65,13.11,0,0,0,2.19,7.65,0,0,1.09,0,0
108-118,0.77,0,0,19.15,0.77,3.83,2.3,0,0.77,0.77,0,0,5.36,0,3.83,8.43,1.53,0,0,0.77,6.13,0,0,0,0,0
120,0,0,3.92,15.68,0,0,1.96,0,0,0,0,0,1.96,0,3.92,1.96,0,1.96,1.96,0,1.96,0,0,0,0,0
