stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.94,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,0,89.38,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,3.15,0,0,22.03,0,53.5,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,23,3,1,0,0,0,1,0,0,1,0,1,0,0,0,3,0,1,16,0,0,0,1,0,516,0,1,0,2,4,0,0,1,0
 24-34,0,0,0,64.85,0,2.46,0,6.57,0,0,0,0,0.82,0,11.49,0,0,4.1,5.75,0,2.46,31.19,0.82,2.46,0,0,0,615.64,0,0,0,0,5.75,0,0,0.82,0
 36-46,0,0,0,41.09,0,2.42,0,23.36,0.81,0.81,0.81,0,0,0,6.45,0.81,0,0.81,4.03,0,3.22,16.92,0,3.22,0,0,0,543.83,0,0,0.81,0,4.83,0,0,0,0
 48-58,0,0,0,29.84,0,9.18,0,24.67,0,2.87,0.57,0,0,0.57,2.87,0,0.57,1.72,6.89,0,1.15,25.82,0,3.44,0,0,0.57,585.85,0,0,0,0,2.3,0,0,0,1.15
 60-70,0,0,0,42.21,0,7.85,0.98,22.58,0.98,0,0,0,0,0,8.83,0,0,4.91,5.89,0,0.98,13.74,0,7.85,0,0,0,519.23,0,0,0,0,2.94,0,0,0,0
 72-82,0,0,0,53.99,0,10.8,0,21.6,1.96,3.93,1.96,0,0,0,15.71,0,0,4.91,11.78,0,0.98,15.71,0,12.76,0.98,0,0,650.84,0,0,0,0,0.98,0,0.98,0.98,0
 84-94,0,0,0,101.96,0,7.43,0,52.04,0,1.06,2.12,0,0,0,40.36,0,0,2.12,20.18,0,0,6.37,1.06,28.68,0,0,0,1492.16,0,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,142.07,1.09,10.93,0,62.29,2.19,3.28,3.28,0,0,0,74.31,3.28,1.09,10.93,31.69,0,1.09,30.6,0,38.25,1.09,0,0,1423.98,0,0,0,0,0,2.19,1.09,0,0
108-118,0,0,0,117.19,0.77,5.36,0,68.94,0,1.53,3.06,0,0,1.53,64.34,0.77,0,9.96,25.28,0.77,0.77,16.85,0,22.21,1.53,0,0,1145.88,0,0,0,0,0.77,2.3,0,2.3,0
120,0,0,0,64.67,0,1.96,0,43.12,0,0,0,0,0,0,19.6,0,0,5.88,9.8,0,0,13.72,0,17.64,0,0,0,591.86,0,0,1.96,0,1.96,0,0,0,0
