stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,300.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,84.12,0,0,0,28.92,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,22.03,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,8,2,2,0,0,0,3,3,0,1,0,0,0,0,1,6,0,10,65,2,1,1,1,1,0,15,1,2,19,30,0,0,0,0,0
 24-34,0,0,0.82,3.28,7.39,0,8.21,0,0,0,4.93,1.64,0,1.64,0,0,0,0,2.46,27.91,0,13.95,221.63,0.82,1.64,3.28,0,6.57,0,0,0.82,1.64,8.21,105.89,0,0,7.39,0,0
 36-46,0,0,0,0,3.22,0,37.06,0.81,0.81,1.61,8.06,0.81,0.81,0,0.81,0,0,0,4.03,32.23,0,13.7,264.26,0,2.42,3.22,0,8.86,0,0,1.61,0,0,118.43,0,0,3.22,0,0.81
 48-58,0,0,0,0,3.44,0,31.56,0,0.57,0.57,10.9,0,0,1.15,0.57,0,0.57,0,0,18.36,1.15,4.59,156.07,0,0,1.15,0,2.3,0,0,0,0.57,0,40.74,0,0,0,0,0.57
 60-70,0,0,0,0,2.94,0,105.02,1.96,1.96,2.94,41.22,0,0,0,0,0.98,0,0.98,0,25.52,0,0.98,237.53,0,2.94,0,0,0.98,0,0,0,0.98,0,56.93,0,1.96,0.98,0.98,0
 72-82,0,0,0,0,2.94,0,119.76,0,0,2.94,46.14,1.96,0,0,0,0,0,0,0,11.78,0,1.96,134.49,0.98,0.98,0,0,0,0,0,0.98,0,0,17.67,0,0.98,0,0,0.98
 84-94,0,0,0,0,9.56,2.12,95.58,0,0,1.06,40.36,0,0,0,0,0,0,0,2.12,19.12,1.06,4.25,62.66,0,0,0,0,4.25,0,0,2.12,0,0,10.62,0,0,3.19,0,2.12
 96-106,0,0,0,0,3.28,0,75.41,0,1.09,0,53.55,1.09,0,0,0,0,1.09,0,3.28,7.65,0,2.19,67.76,1.09,1.09,0,0,3.28,0,0,0,0,0,5.46,0,0,0,0,3.28
108-118,0,0,0.77,0,3.83,0.77,48.26,0,0.77,0,41.36,1.53,0,0,1.53,0,0,0,0.77,7.66,0.77,0.77,60.51,0.77,0.77,0.77,0,2.3,0,0,0.77,0,0,2.3,0.77,0,0.77,0,1.53
120,0,0,0,0,13.72,0,41.16,0,3.92,0,45.08,1.96,0,0,1.96,0,0,0,3.92,1.96,0,0,48.99,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0
