stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,20,0,0,0,1,0,2,3,0,1,5,0,0,0,0,0
 24-34,0,0.82,0.82,0,2.46,0,0,0,0,0,0,0,0,0,0,0.82,0,0,3.28,0,0,2.46,22.98,0,0,0.82,0,0,4.93,0,0,0.82,4.93,0,0,0.82,0,0
 36-46,0,0.81,0,0,4.83,0,0,0,0.81,0,0,0,0,0,0,0,0,0,2.42,0,0,0,24.17,0.81,0.81,0,0,0,2.42,0,0,0,4.83,0,0,0,0,0
 48-58,0,0.57,0,0,11.48,0,0,0,2.87,0,0,0,0,0,1.15,0,0,0,2.3,0,0,1.15,14.35,0,0,0.57,0,0,0,0,0.57,0,3.44,0,0,0.57,0,0.57
 60-70,0,0,0,0,12.76,1.96,0,0,3.93,0.98,0,0,0,0.98,0,0,0,0,7.85,0,0.98,0,19.63,0.98,0,0,0,0,0.98,0,0.98,0,1.96,0,0,0.98,0,0
 72-82,0,0.98,0.98,0,14.72,0,0,1.96,4.91,0,0.98,0,0,0,0,0,0,0,5.89,0.98,0,0,20.61,0,0.98,0,0,0,2.94,0,0,0,0.98,0.98,0,0.98,0,0.98
 84-94,0,1.06,0,0,9.56,0,0,1.06,0,1.06,0,0,1.06,0,0,0,1.06,0,3.19,0,1.06,0,7.43,0,0,0,0,0,5.31,0,1.06,0,1.06,0,0,0,0,0
 96-106,0,3.28,1.09,1.09,6.56,0,1.09,0,4.37,3.28,0,1.09,1.09,0,0,0,0,1.09,1.09,1.09,0,0,12.02,0,2.19,1.09,0,1.09,7.65,0,0,0,0,0,1.09,1.09,1.09,0
108-118,0,3.06,0.77,0,5.36,0,0,0,0.77,0.77,0,0,0.77,0,0,0,0,0,1.53,0,0,0.77,14.55,0,0.77,0.77,0,0,1.53,0,0,0,0,0,0,0,0,0
120,0,0,3.92,0,7.84,0,0,0,3.92,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,13.72,1.96,0,0,0,0,11.76,0,0,0,3.92,0,0,1.96,1.96,0
