stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,12.26,0,0,0,0,0
  7-9,15.77,15.77,23.66,0,0,52.57,0,0,0,5.26,0,0,0,0,0,294.42,10.51,0,0,141.95,0,0,2.63,0,0,0
 10-12,0,9.44,3.15,0,3.15,40.91,0,0,0,6.29,0,0,0,0,0,286.37,9.44,0,0,116.44,0,0,3.15,0,0,0
 14-21,0,0,0,10,1,0,0,22,1,0,0,0,0,0,0,22,0,1,2,0,0,8,20,3,52,0
 24-34,0,0,0,0.82,0,2.46,0,11.49,0,0,0,0,0,2.46,1.64,15.6,0,0.82,4.1,0,0,0,18.06,0.82,31.19,0
 36-46,0,0,0,0.81,0,2.42,0.81,13.7,0,0,0,0,0,1.61,0,16.11,0,2.42,0.81,0,0,0,10.47,0,24.98,0
 48-58,0,0,0,1.15,0,6.89,0,20.08,0,0,0,0,0,3.44,0,4.59,0,4.02,1.72,0,0,0,3.44,0,22.38,0
 60-70,0,0,0,0,0,3.93,0,15.7,0,0,0,0,0.98,3.93,0,5.89,0,4.91,1.96,0,0,0,1.96,0,15.7,0
 72-82,0,0,0,0,0,2.94,0,13.74,0,0,0,0,0,0.98,0,2.94,0,2.94,3.93,0,0,0,0.98,0,7.85,0.98
 84-94,0,0,0,0,0,6.37,0,16.99,1.06,0,0,0,1.06,0,0,2.12,0,10.62,5.31,0,0,0,3.19,0,7.43,0
 96-106,0,0,0,1.09,0,1.09,0,7.65,1.09,0,3.28,0,2.19,0,0,1.09,0,5.46,5.46,0,0,0,2.19,0,7.65,0
108-118,0,0,0,0.77,0,1.53,0,5.36,0,0,0.77,0.77,1.53,0,0,1.53,0,3.06,6.13,0,0,0,3.06,0,2.3,0
120,0,0,1.96,0,0,1.96,0,1.96,0,0,0,1.96,1.96,1.96,0,1.96,0,3.92,1.96,0,0,0,1.96,0,5.88,0
