stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,0,0,0,0,0,0
 24-34,0,4.93,0.82,0.82,0,0,0.82,0,0,0,1.64,2.46,0,0,0,0,1.64,0,0.82,1.64,0,0,0.82,13.13,0,0,9.03,0,0,0,0,12.31,0,0,0.82,0,0,0.82,0,0
 36-46,0,2.42,0.81,1.61,0,0,1.61,0,0,0,0,4.03,0,0,0,0,2.42,4.03,0,0.81,0,0,0.81,8.06,0,0.81,5.64,0,0,0.81,0,12.89,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.72,0,0,0,0,11.48,0,0,0,0,5.74,5.74,0,0,0,0,0,8.61,0,1.72,11.48,0,0,0.57,0,3.44,0,0,2.87,0,0,0,0,0
 60-70,0,1.96,0,0,0,0,2.94,0,0,0,2.94,52.02,0,0,0,0,15.7,4.91,0,1.96,0,0,0,8.83,0.98,0,23.56,0,0,0,0,3.93,0.98,0,1.96,0,0,0,0,0
 72-82,0,25.52,0.98,0.98,0,0,13.74,0.98,0,0,1.96,217.93,0.98,0,0.98,0.98,29.45,5.89,0,5.89,0,0,2.94,48.1,0,1.96,53.99,0,0,3.93,0,0.98,0,0,0.98,0,0,2.94,0,0
 84-94,0,28.68,1.06,6.37,0,0,5.31,0,0,0,3.19,421.63,0,1.06,0,0,54.16,9.56,1.06,3.19,0,1.06,0,26.55,0,4.25,80.71,0,0,3.19,0,6.37,0,0,2.12,0,1.06,0,0,0
 96-106,0,37.16,1.09,7.65,5.46,1.09,16.39,0,1.09,0,3.28,570.47,0,1.09,1.09,2.19,89.61,16.39,0,17.49,1.09,1.09,1.09,79.78,0,3.28,93.98,0,1.09,4.37,0,2.19,0,0,1.09,4.37,0,2.19,1.09,2.19
108-118,0,24.51,4.6,6.89,0.77,0,8.43,0,0,0.77,3.83,587.49,0,0,1.53,0,59.75,11.49,0.77,8.43,0,0.77,0.77,51.32,0.77,2.3,75.06,0,0,3.06,0,3.06,0,0,0.77,3.83,0,0.77,0,0
120,0,7.84,0,9.8,3.92,0,1.96,0,1.96,3.92,1.96,390,0,0,5.88,0,47.03,7.84,0,5.88,0,0,3.92,50.95,0,1.96,94.07,0,0,3.92,0,1.96,0,0,0,0,0,1.96,1.96,0
