stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,521.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,15.77,21.03,0,0,0,23.66,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,344.36,10.51,0,0,136.69,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,15.73,0,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,254.9,6.29,0,0,91.26,0,3.15,0,0,25.18,0,0,0,0,0,0,0
 14-21,0,0,3,39,15,0,24,0,0,0,11,1,4,2,0,1,0,0,0,0,21,0,0,13,395,4,4,0,8,0,7,0,34,2,1,18,118,0,0,0,0
 24-34,0,0.82,0.82,29.55,22.16,0,280.73,0,0,0.82,24.63,0,0.82,4.1,2.46,2.46,1.64,0.82,3.28,1.64,126.41,0,1.64,36.12,1535,5.75,9.03,13.13,0,0,14.78,0,0,0.82,0,4.93,296.33,0,12.31,0,1.64
 36-46,0,0,0.81,9.67,13.7,0,561.55,0,0.81,0.81,23.36,0,0,2.42,2.42,0.81,0.81,0.81,0.81,0,75.73,0,1.61,19.34,1073.96,2.42,6.45,5.64,0,0,4.83,0,0.81,1.61,0,0,213.5,0,12.89,0,0
 48-58,0,0,0,14.35,7.46,0,680.53,0.57,0.57,1.15,33.28,0.57,0,1.15,0.57,1.72,0.57,0.57,0.57,0.57,116.48,0,5.16,15.49,615.12,1.72,3.44,2.3,0,0,6.31,0,0,0.57,0,0,91.81,0,2.87,0,1.15
 60-70,0,0,0,21.59,13.74,0,404.39,0,0.98,0.98,31.41,2.94,0,0,2.94,0,1.96,1.96,0.98,1.96,66.74,0,7.85,10.8,316.05,3.93,1.96,2.94,0,0.98,0,0,0,0,0,0,28.46,0,12.76,0,0
 72-82,0,0,0,17.67,21.6,0,166.88,0,0,2.94,41.23,3.93,0,1.96,0.98,1.96,0,0,0,0,72.64,0,7.85,11.78,197.31,0,1.96,3.93,0,0,0.98,0,0,0,0,0,5.89,0,5.89,0,0.98
 84-94,0,0,0,19.12,20.18,0,113.64,1.06,1.06,1.06,30.8,6.37,0,0,7.43,3.19,2.12,1.06,0,0,73.28,1.06,6.37,6.37,118.95,1.06,2.12,0,0,0,2.12,0,0,1.06,0,0,4.25,1.06,7.43,1.06,0
 96-106,0,0,0,3.28,29.51,1.09,65.57,0,0,0,22.95,3.28,0,0,2.19,1.09,0,0,0,0,32.79,0,1.09,6.56,81.96,1.09,1.09,2.19,0,0,3.28,0,0,0,0,0,3.28,0,6.56,0,0
108-118,0,0,0,7.66,24.51,0,78.89,0,0,0.77,20.68,0.77,0,0,6.13,0.77,0,0,0.77,0.77,15.32,0,2.3,6.13,98.04,1.53,0.77,0,0,0,1.53,0,0,0,0,0,0.77,2.3,5.36,0.77,0.77
120,0,0,0,11.76,48.99,1.96,178.34,0,1.96,0,27.44,5.88,0,0,15.68,3.92,0,0,0,0,43.12,0,0,7.84,188.14,0,1.96,1.96,0,0,1.96,0,0,0,0,0,0,0,19.6,0,0
