stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,764.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,919.45,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,36.8,31.54,0,21.03,0,0,0,57.83,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,601.98,23.66,0,0,220.81,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,6.29,0,31.47,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,368.2,6.29,0,0,110.14,0,0,3.15,3.15,22.03,3.15,0,0,0,0,0,0
 14-21,0,0,3,3,21,7,0,11,0,0,0,4,2,0,0,0,0,0,0,0,0,12,0,7,136,4,0,0,3,0,1,0,13,1,16,56,0,0,1,0,0
 24-34,0,0,0,0,15.6,0.82,0,24.63,0,2.46,0,0.82,0.82,0,0.82,0,0,0.82,0.82,0.82,0,15.6,0,5.75,164.99,2.46,0.82,0,0,0,9.85,0,0,0.82,4.1,34.48,0,0,0.82,0,0
 36-46,0,0,0.81,0,4.03,0,0,30.62,0,0,0.81,8.06,0.81,0,0.81,0,0,0.81,0.81,0.81,0,23.36,1.61,8.06,175.64,0.81,1.61,0.81,0,0,6.45,0,0,0,0,52.37,0,0,0,0,0
 48-58,0,0,0,0,2.3,0,0,43.61,0.57,1.15,1.15,10.9,0,0,0,1.15,0,0,0,0.57,0,25.82,0.57,5.74,142.3,0,0.57,2.3,0,0,1.72,0,0.57,0,0,30.99,0,0,1.72,0,1.15
 60-70,0,0,0,0,1.96,0,0,80.48,0.98,0.98,1.96,20.61,0,0,0,0,0,0.98,0,0,0,49.08,0.98,7.85,184.53,0,2.94,0.98,0,0.98,5.89,0,0,0.98,0,25.52,0,0,2.94,0,2.94
 72-82,0,0,0,0,0.98,0,0.98,49.08,0,0,3.93,12.76,0,0,0.98,0,0.98,0,0,0,0,49.08,3.93,5.89,134.49,0.98,4.91,0,0,1.96,3.93,0,0,0,0,4.91,0,1.96,3.93,0.98,0.98
 84-94,0,0,0,0,3.19,0,0,32.92,0,2.12,1.06,11.68,2.12,0,0,4.25,0,0,0,0,0,28.68,4.25,4.25,66.91,0,1.06,2.12,0,0,8.5,0,0,0,0,4.25,0,1.06,6.37,2.12,1.06
 96-106,0,0,0,0,5.46,0,1.09,22.95,1.09,0,2.19,9.84,0,0,1.09,1.09,0,0,0,1.09,0,33.88,3.28,3.28,56.83,0,4.37,2.19,0,0,5.46,0,0,0,0,3.28,1.09,2.19,3.28,1.09,1.09
108-118,0,0,0,0.77,6.13,0,1.53,26.81,0,0.77,0.77,12.26,1.53,0,0,0.77,0,0.77,0,0.77,0.77,24.51,0,5.36,65.11,2.3,1.53,0,0,0,13.79,0,0,0,0,3.06,0.77,0.77,4.6,0,0.77
120,0,0,0,0,7.84,0,0,15.68,0,0,1.96,1.96,0,0,1.96,3.92,0,0,0,0,0,17.64,0,7.84,76.43,0,0,0,0,0,7.84,0,0,0,0,1.96,0,0,3.92,0,0
