stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,128.72,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,5.26,7.89,0,0,0,0,2.63,0,0,0,0,0,89.38,0,0,26.29,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,47.2,0,0,15.73,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0
 24-34,0,0,0.82,0,0,6.57,0.82,0,0,0,3.28,0,2.46,18.88,0,0,0,0,0,0.82,5.75,0
 36-46,0,0,0,0,0,4.03,0,0,0,0,0.81,0,0,7.25,0,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,0,6.89,0,0,0,0.57,3.44,0,0,5.74,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,2.94,1.96,0,0.98,0,6.87,0,0,3.93,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,2.94,0,0,0,0,1.96,0.98,0,4.91,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,1.06,0,0,0,1.06,0,1.06,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,1.09,0,0,1.09,1.09,0,0,2.19,0,0,0,0
108-118,0,0,0,0.77,0,1.53,1.53,0,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,3.92,3.92,0,0,0,7.84,0,3.92,1.96,0,1.96,0,1.96,1.96,0,0,0
