stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,224,10,3,0,1,0,0,0,2,0,0,0,0,0,0,11,0,0,5,8,51,0,0,0,1,1,3,4,0,0,0,0
 24-34,0,0,261.85,4.1,4.93,0,16.42,1.64,0,0.82,0,0,0.82,0,0.82,0,0,5.75,2.46,0,5.75,13.95,22.98,0,0,0,0.82,0,0,1.64,0,0,1.64,0
 36-46,0,0,156.3,0.81,2.42,0,12.89,1.61,0.81,0.81,0,2.42,0,0,0,0,0.81,4.83,0.81,0.81,4.83,8.86,24.98,0,0,0,0,0,0,5.64,0,0,0,0
 48-58,0,0,129.11,2.3,1.15,0,14.35,0,0,0,0,2.3,0,0,0,0,0,14.35,1.15,0,0.57,8.03,25.82,0,0,0,0,0,0,8.03,0,1.15,1.15,0
 60-70,0,0,117.78,0.98,6.87,0,8.83,2.94,0,0,0,0.98,0,0.98,0,0,0,38.28,0.98,0.98,2.94,5.89,20.61,0,0,0,0,0,0,6.87,0,10.8,0,0
 72-82,0,0,103.07,1.96,3.93,0,1.96,1.96,0.98,0,0,3.93,0,0,1.96,0,0,68.72,0.98,0,2.94,3.93,2.94,0,0,0,0,0,0,5.89,0,4.91,1.96,3.93
 84-94,0,0,176.3,1.06,8.5,0,23.36,1.06,1.06,3.19,0,1.06,0,0,0,0,0,52.04,2.12,0,3.19,1.06,13.81,0,0,0,1.06,0,0,1.06,1.06,11.68,1.06,4.25
 96-106,0,0,139.88,0,6.56,1.09,14.21,1.09,0,0,0,8.74,0,0,0,1.09,0,48.09,2.19,1.09,6.56,4.37,4.37,1.09,1.09,0,0,0,0,0,0,12.02,2.19,8.74
108-118,0,0,156.26,0.77,0.77,0,21.45,0.77,0,2.3,0,3.83,0,0,0,0,0,39.06,1.53,0.77,3.06,5.36,3.83,0,0,2.3,0,0,0,3.83,0,9.96,4.6,4.6
120,0,0,74.47,0,0,0,9.8,0,0,0,0,5.88,0,0,0,0,0,29.4,3.92,0,1.96,1.96,0,0,0,1.96,0,0,0,0,0,7.84,1.96,5.88
