stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9,3,0,5,0,0,5,1,2,0,1,0,0,0,0,12,0,0,2,108,0,3,1,6,0,2,16,1,0,9,36,0,0,2,0,0
 24-34,0,0,0.82,0,1.64,0,0,14.78,0,1.64,0.82,0.82,0.82,0,0,0.82,0,0,0,9.85,0,0,2.46,71.41,0,11.49,0.82,0,0,4.93,0,1.64,0,0.82,17.24,0,0,4.93,0,0.82
 36-46,0,0,0,0,4.03,0,0,30.62,0,0.81,0.81,0.81,0,0,0.81,0,0,0,0,5.64,0,0,0.81,50.76,0,4.03,0,0,0,2.42,0,1.61,0,0,10.47,0,0,1.61,0,0
 48-58,0,0,0,0,0.57,0,0,21.23,0.57,0.57,6.31,0,0,0,0,0.57,0,0.57,0,9.18,0,0,3.44,53.94,0.57,1.15,1.15,0,0,2.3,0,0.57,0.57,0,14.92,0,0,1.15,0,0.57
 60-70,0,0,0,0,0,0,0,41.22,0.98,0,6.87,0,0,0.98,0,0.98,0,0,0,24.54,0,2.94,1.96,53.98,0.98,1.96,0,0,0.98,3.93,0,0.98,0,0,3.93,0,0,2.94,0,1.96
 72-82,0,0,0,0,0,0,0,30.43,0.98,0.98,10.8,0,0,0,0,0,0,0.98,0,40.25,0,0.98,4.91,66.75,1.96,2.94,3.93,0,0,0.98,0,0,0,0,7.85,0,1.96,2.94,0.98,0.98
 84-94,0,0,0,0,7.43,1.06,0,12.74,1.06,2.12,4.25,0,0,1.06,2.12,0,1.06,1.06,0,21.24,0,3.19,2.12,28.68,3.19,0,2.12,0,0,3.19,0,0,0,0,2.12,0,1.06,5.31,0,0
 96-106,0,0,0,0,6.56,0,0,15.3,0,0,5.46,0,0,0,0,0,1.09,1.09,0,22.95,1.09,1.09,2.19,34.97,1.09,4.37,1.09,0,1.09,16.39,0,0,0,0,2.19,0,3.28,1.09,1.09,0
108-118,0,0,0,0.77,6.89,0,0.77,14.55,1.53,0,12.26,0.77,2.3,1.53,0,0,0,0,0.77,27.57,0.77,1.53,5.36,35.23,5.36,3.06,2.3,0,0,9.96,0,1.53,0,0,2.3,0.77,1.53,3.06,0.77,0
120,0,0,0,0,5.88,0,0,9.8,1.96,0,1.96,0,0,3.92,0,0,0,0,0,17.64,0,1.96,1.96,29.4,5.88,1.96,1.96,0,0,13.72,0,0,0,0,3.92,0,0,5.88,0,0
