stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,12,2,0,3,0,0,1,0,0,1,0,0,0,0,6,0,0,3,41,2,0,2,0,0,3,4,2,0,8,7,0,0,0
 24-34,0,0,0,2.46,0.82,0,4.93,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0.82,36.94,0,1.64,2.46,0,0,4.1,0,0.82,0,0,12.31,0,0,0
 36-46,0,0,0,2.42,0,0,11.28,0,0.81,3.22,0,0,0.81,0,0.81,0.81,0,8.06,0,0.81,2.42,159.52,0.81,0,0.81,0,0,0.81,0,0,0,0,28.2,0,0,0
 48-58,0,0,0,0.57,0,0,25.82,0,0.57,6.89,0,0,0.57,0,0,0.57,0.57,6.31,0,0,1.15,113.61,0,0.57,0.57,0,0,1.72,0,0,0.57,0,14.35,0,0,0.57
 60-70,0,0.98,0,1.96,0,0,32.39,1.96,1.96,12.76,0,0.98,0,0,0,0,0,18.65,0.98,0.98,0.98,277.77,0,0.98,0.98,0,0,0.98,0,0.98,0,0,33.37,0,0,0
 72-82,0,0.98,0,1.96,0,0,8.83,0,0,3.93,0,0,0.98,0,0,0,0,0.98,0,0.98,1.96,25.52,0,1.96,0,0,0,0.98,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,2.12,0,0,14.87,0,1.06,0,0,0,0,0,0,0,0,5.31,0,0,1.06,15.93,2.12,0,3.19,0,0,6.37,0,0,0,0,0,1.06,0,2.12
 96-106,0,1.09,0,1.09,2.19,0,13.11,0,0,4.37,1.09,0,1.09,2.19,0,0,1.09,6.56,0,0,1.09,20.76,1.09,2.19,0,0,1.09,6.56,0,0,0,0,0,0,0,1.09
108-118,0,0.77,0,0.77,0,2.3,31.4,1.53,1.53,6.13,5.36,0,0,0.77,2.3,0,1.53,7.66,1.53,0.77,0,46.72,1.53,0,3.83,0,0,3.83,0,0.77,0,0,0.77,0,0.77,0
120,0,0,0,0,1.96,0,15.68,0,0,0,1.96,0,0,0,0,0,0,7.84,0,0,0,23.52,0,0,3.92,0,0,3.92,0,0,0,0,0,0,0,0
