stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,2.63,0,5.26,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,201.41,0,28.32,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,506.66,28.32,0,0,28.32,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,19,600,24,0,93,0,0,0,2,3,0,0,0,13,0,0,0,154,0,0,145,352,108,0,0,1,0,0,4,42,0,24,15,0,0,0,0,0
 24-34,0,0.82,0,3.28,242.97,0.82,0,257.75,0,4.93,1.64,7.39,0,0,1.64,0,1.64,0,9.03,1.64,188.8,1.64,0,100.97,1250.98,54.18,0.82,8.21,0.82,0,2.46,0.82,31.19,0,4.93,38.58,0,0,5.75,0,0.82
 36-46,0,0,0,0.81,113.6,0,0,120.85,0,8.86,3.22,112.79,0,0,0.81,0,0,0,6.45,0,175.64,0,13.7,47.53,1147.27,12.89,0.81,12.09,0,0.81,0,0,16.92,0,0,41.09,0,0.81,2.42,0.81,1.61
 48-58,0.57,0,0,0,81.48,0,0,86.07,0,13.77,3.44,193.95,0,0,1.15,0,0.57,0,5.16,0.57,189.93,0.57,13.77,44.76,437.81,4.02,0.57,8.61,0,0,0.57,0,7.46,0.57,0,31.56,0,1.15,1.15,0.57,0
 60-70,0,0,0,0,80.48,0,0,55.95,0,7.85,2.94,131.52,0,0,1.96,0.98,0.98,0,1.96,0.98,173.73,1.96,20.61,21.59,247.34,2.94,0.98,3.93,0,3.93,0,0,3.93,0,0,11.78,0,5.89,0,1.96,0
 72-82,0,0,0,0,107,0.98,0,85.4,0,13.74,3.93,178.66,0,0,3.93,0,4.91,0,1.96,0,273.88,0,25.52,19.63,265.05,2.94,0,5.89,0,1.96,0.98,0,5.89,0,0,7.85,0.98,4.91,2.94,7.85,0
 84-94,1.06,0,0,0,207.1,2.12,0,101.96,0,24.43,3.19,107.27,2.12,0,1.06,2.12,9.56,1.06,1.06,1.06,192.23,2.12,16.99,14.87,211.35,1.06,0,13.81,0,4.25,2.12,0,9.56,0,0,4.25,1.06,5.31,2.12,8.5,0
 96-106,0,0,1.09,0,213.11,2.19,1.09,87.43,1.09,21.86,1.09,153,2.19,0,3.28,1.09,9.84,0,1.09,2.19,177.04,2.19,18.58,9.84,175.95,0,1.09,19.67,0,1.09,1.09,0,5.46,0,0,3.28,1.09,3.28,2.19,8.74,1.09
108-118,0,0,0,0,222.13,0.77,1.53,91.92,0,45.19,0.77,127.15,3.06,0,0.77,1.53,9.19,0,1.53,0.77,150.89,2.3,14.55,6.89,183.07,1.53,0.77,16.85,0,1.53,2.3,0,7.66,0,0,2.3,6.89,0.77,0.77,2.3,0
120,0,0,1.96,0,146.98,0,0,62.71,0,21.56,0,107.79,0,0,0,0,7.84,1.96,0,1.96,111.71,1.96,11.76,7.84,176.38,1.96,0,15.68,0,0,0,0,0,0,0,0,3.92,0,0,5.88,0
