stage,epidermis,eye,fin.mesenchyme,glial,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,pericytes,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0
 24-34,0,0,0,1.64,0,0,0,0.82,0,4.1,13.13,1.64,0,1.64,0.82,7.39,0,0,0
 36-46,0,0.81,0,0,0,0,0,1.61,0.81,0.81,16.11,0.81,0.81,0,0,8.86,0,0.81,0
 48-58,0,1.15,0.57,0.57,0,0.57,0.57,3.44,0,1.15,27.54,0.57,0,0,0,9.18,0,0,0
 60-70,0,2.94,0,2.94,0,0,0,4.91,0,0,26.5,0,0,0,0,6.87,0,0,0
 72-82,0,1.96,0,5.89,0.98,0,0,3.93,0.98,0.98,26.5,1.96,0,0,0,3.93,0.98,0,0
 84-94,0,0,1.06,1.06,0,0,0,3.19,1.06,0,13.81,1.06,0,0,0,4.25,0,1.06,1.06
 96-106,2.19,0,0,2.19,0,1.09,0,4.37,0,2.19,8.74,0,0,0,0,1.09,0,0,0
108-118,1.53,2.3,0.77,0.77,0,0,0,3.83,0,0.77,11.49,0,0,0,0,1.53,0,0,0
120,0,0,0,1.96,0,0,0,9.8,0,0,11.76,1.96,0,0,0,1.96,0,0,1.96
