stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,3,0,0,0
 24-34,0,0,0,0.82,0,1.64,0,0,0,0,0,0,0,0.82,0,0.82,13.13,0,0,0,0.82,0,4.93,0,0,0
 36-46,0,0,0,0,0,6.45,0,0.81,0.81,0,0,0,0,4.03,0,0,10.47,0.81,0,0,0.81,0,3.22,0,0.81,0
 48-58,0,0,0,0,0,5.16,0,1.72,0,0,0,0,0.57,1.15,0,0,6.31,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,5.89,0,0.98,0,0,0,0,0,1.96,0.98,0.98,11.78,0,0,0,0.98,0,0,0,0,2.94
 72-82,0,0,0,0,0.98,2.94,0.98,2.94,0,0.98,0,0,0,4.91,0,0.98,5.89,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,0,1.06,5.31,0,3.19,0,0,0,1.06,0,4.25,1.06,1.06,5.31,1.06,1.06,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,1.09,1.09,0,7.65,0,0,0,0,1.09,2.19,0,0,4.37,1.09,1.09,0,0,0,1.09,0,0,0
108-118,0,0,0.77,0,0.77,3.06,0,4.6,0,0,0.77,0,0,0.77,0,0,8.43,0,1.53,0,0,0.77,0.77,0.77,0,0
120,0,0,0,0,1.96,1.96,0,3.92,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0
